trial,rt,type,color_choice,word_color,word_text,congruent,correct,repeat_stim,id
0,1400,practice,red,red,blue,False,True,False,009
1,904,practice,blue,green,red,False,False,False,009
2,1343,practice,red,red,green,False,True,False,009
3,987,practice,blue,blue,blue,True,True,False,009
4,822,practice,green,green,green,True,True,False,009
5,1260,practice,red,red,green,False,True,False,009
6,1504,practice,blue,blue,blue,True,True,False,009
7,1305,practice,blue,blue,red,False,True,False,009
8,794,practice,blue,blue,red,False,True,True,009
9,800,practice,red,red,blue,False,True,False,009
10,1091,practice,blue,blue,green,False,True,False,009
11,1015,practice,green,green,green,True,True,False,009
12,796,practice,red,red,red,True,True,False,009
13,1533,practice,green,green,red,False,True,False,009
14,969,practice,green,green,blue,False,True,False,009
15,822,practice,blue,blue,blue,True,True,False,009
16,740,practice,blue,blue,blue,True,True,True,009
17,1017,practice,green,green,green,True,True,False,009
18,1068,practice,blue,blue,green,False,True,False,009
19,789,practice,red,red,red,True,True,False,009
20,670,practice,red,red,red,True,True,True,009
21,878,practice,blue,green,blue,False,False,False,009
22,866,practice,red,red,red,True,True,False,009
23,1285,practice,green,green,green,True,True,False,009
24,1437,infrequent,green,green,blue,False,True,False,009
25,807,infrequent,blue,blue,blue,True,True,False,009
26,1212,infrequent,red,red,blue,False,True,False,009
27,841,infrequent,blue,blue,blue,True,True,False,009
28,732,infrequent,blue,blue,blue,True,True,True,009
29,820,infrequent,blue,blue,blue,True,True,True,009
30,689,infrequent,blue,blue,blue,True,True,True,009
31,737,infrequent,blue,blue,blue,True,True,True,009
32,1006,infrequent,green,green,green,True,True,False,009
33,944,infrequent,blue,blue,blue,True,True,False,009
34,929,infrequent,green,green,green,True,True,False,009
35,859,infrequent,green,green,green,True,True,True,009
36,1084,infrequent,red,red,red,True,True,False,009
37,834,infrequent,red,red,red,True,True,True,009
38,874,infrequent,blue,blue,blue,True,True,False,009
39,1051,infrequent,red,red,red,True,True,False,009
40,977,infrequent,green,green,green,True,True,False,009
41,1063,infrequent,blue,blue,blue,True,True,False,009
42,923,infrequent,red,red,red,True,True,False,009
43,1099,infrequent,green,green,green,True,True,False,009
44,966,infrequent,blue,blue,blue,True,True,False,009
45,816,infrequent,red,red,red,True,True,False,009
46,823,infrequent,green,green,green,True,True,False,009
47,817,infrequent,red,red,red,True,True,False,009
48,796,infrequent,red,red,red,True,True,True,009
49,888,infrequent,blue,blue,blue,True,True,False,009
50,673,infrequent,blue,blue,blue,True,True,True,009
51,660,infrequent,blue,blue,blue,True,True,True,009
52,808,infrequent,red,red,red,True,True,False,009
53,1497,infrequent,blue,blue,green,False,True,False,009
54,899,infrequent,green,green,green,True,True,False,009
55,703,infrequent,green,green,green,True,True,True,009
56,996,infrequent,blue,blue,blue,True,True,False,009
