type,trial,FB,fs_RT,fs_choice,fs_stims,id,ss_RT,ss_choice,ss_stims,transition
practice,0.0,1,1438,1,"(0, 1)",022,1582.0,5,"(4, 5)",common
practice,1.0,-1,1552,1,"(1, 0)",022,,-1,"(4, 5)",common
practice,2.0,0,947,1,"(1, 0)",022,638.0,5,"(5, 4)",common
practice,3.0,1,798,1,"(0, 1)",022,634.0,5,"(4, 5)",common
practice,4.0,0,885,0,"(0, 1)",022,1207.0,3,"(2, 3)",common
practice,5.0,0,604,0,"(1, 0)",022,615.0,2,"(2, 3)",common
practice,6.0,0,630,0,"(1, 0)",022,691.0,2,"(3, 2)",common
practice,7.0,0,575,1,"(1, 0)",022,657.0,5,"(5, 4)",common
practice,8.0,1,547,0,"(0, 1)",022,907.0,2,"(3, 2)",common
practice,9.0,1,739,1,"(0, 1)",022,799.0,4,"(5, 4)",common
task,0.0,0,792,1,"(0, 1)",022,695.0,4,"(5, 4)",common
task,1.0,1,527,1,"(1, 0)",022,623.0,4,"(4, 5)",common
task,2.0,1,846,0,"(1, 0)",022,891.0,3,"(3, 2)",common
task,3.0,0,771,0,"(1, 0)",022,640.0,4,"(4, 5)",rare
task,4.0,0,699,0,"(1, 0)",022,463.0,5,"(4, 5)",rare
task,5.0,1,1483,0,"(1, 0)",022,843.0,3,"(2, 3)",common
task,6.0,1,512,1,"(1, 0)",022,879.0,2,"(3, 2)",rare
task,7.0,0,574,1,"(1, 0)",022,459.0,2,"(3, 2)",rare
task,8.0,1,1133,1,"(0, 1)",022,679.0,5,"(5, 4)",common
task,9.0,0,632,0,"(1, 0)",022,840.0,3,"(3, 2)",common
task,10.0,1,326,0,"(0, 1)",022,808.0,2,"(3, 2)",common
task,11.0,0,541,0,"(0, 1)",022,1076.0,2,"(3, 2)",common
task,12.0,0,491,1,"(0, 1)",022,393.0,5,"(5, 4)",common
task,13.0,1,545,0,"(1, 0)",022,632.0,2,"(3, 2)",common
task,14.0,0,818,0,"(1, 0)",022,549.0,2,"(3, 2)",common
task,15.0,0,448,0,"(0, 1)",022,498.0,3,"(3, 2)",common
task,16.0,0,506,0,"(1, 0)",022,356.0,3,"(3, 2)",common
task,17.0,1,580,1,"(1, 0)",022,349.0,3,"(2, 3)",rare
task,18.0,1,401,1,"(0, 1)",022,448.0,2,"(3, 2)",rare
task,19.0,1,347,0,"(0, 1)",022,354.0,2,"(2, 3)",common
task,20.0,1,366,0,"(1, 0)",022,371.0,2,"(2, 3)",common
task,21.0,1,400,0,"(0, 1)",022,300.0,3,"(2, 3)",common
task,22.0,1,305,1,"(0, 1)",022,435.0,4,"(5, 4)",common
task,23.0,1,440,0,"(0, 1)",022,596.0,2,"(2, 3)",common
task,24.0,0,403,0,"(1, 0)",022,311.0,5,"(5, 4)",rare
task,25.0,0,360,1,"(1, 0)",022,345.0,4,"(5, 4)",common
task,26.0,0,360,1,"(1, 0)",022,286.0,4,"(5, 4)",common
task,27.0,0,305,0,"(1, 0)",022,211.0,2,"(2, 3)",common
task,28.0,0,382,0,"(1, 0)",022,374.0,5,"(4, 5)",rare
task,29.0,0,270,0,"(0, 1)",022,308.0,4,"(4, 5)",rare
task,30.0,1,398,1,"(0, 1)",022,394.0,2,"(3, 2)",rare
task,31.0,0,651,0,"(1, 0)",022,302.0,2,"(2, 3)",common
task,32.0,1,298,0,"(0, 1)",022,337.0,2,"(2, 3)",common
task,33.0,1,641,1,"(0, 1)",022,307.0,5,"(4, 5)",common
task,34.0,0,274,1,"(1, 0)",022,251.0,4,"(4, 5)",common
task,35.0,0,325,1,"(0, 1)",022,737.0,4,"(5, 4)",common
task,36.0,1,270,1,"(1, 0)",022,325.0,2,"(3, 2)",rare
task,37.0,1,402,0,"(1, 0)",022,323.0,2,"(2, 3)",common
task,38.0,0,392,1,"(0, 1)",022,54.0,3,"(3, 2)",rare
task,39.0,0,316,0,"(0, 1)",022,1.0,2,"(3, 2)",common
task,40.0,0,321,1,"(0, 1)",022,312.0,5,"(4, 5)",common
task,41.0,0,314,0,"(0, 1)",022,239.0,2,"(2, 3)",common
task,42.0,1,319,1,"(0, 1)",022,94.0,3,"(3, 2)",rare
task,43.0,1,445,1,"(1, 0)",022,129.0,2,"(3, 2)",rare
