type,trial,FB,fs_RT,fs_choice,fs_stims,id,ss_RT,ss_choice,ss_stims,switch
task,54.0,0,610.0,1,"(0, 1)",003,1342.0,1,"(3, 2)",1.0
task,55.0,1,839.0,1,"(0, 1)",003,979.0,1,"(5, 4)",0.0
task,56.0,1,628.0,0,"(1, 0)",003,509.0,1,"(5, 4)",1.0
task,57.0,0,452.0,1,"(0, 1)",003,501.0,0,"(4, 5)",1.0
task,58.0,1,483.0,0,"(1, 0)",003,640.0,1,"(5, 4)",1.0
task,59.0,1,509.0,1,"(0, 1)",003,606.0,0,"(4, 5)",1.0
task,60.0,0,516.0,1,"(0, 1)",003,935.0,1,"(5, 4)",0.0
task,61.0,0,522.0,1,"(0, 1)",003,951.0,1,"(5, 4)",0.0
task,62.0,0,674.0,1,"(0, 1)",003,630.0,1,"(4, 5)",0.0
task,63.0,0,606.0,0,"(0, 1)",003,687.0,1,"(5, 4)",1.0
task,64.0,1,532.0,0,"(1, 0)",003,683.0,1,"(4, 5)",0.0
task,65.0,1,291.0,1,"(1, 0)",003,1076.0,0,"(2, 3)",1.0
task,66.0,0,682.0,0,"(0, 1)",003,599.0,0,"(2, 3)",1.0
task,67.0,1,479.0,0,"(1, 0)",003,470.0,0,"(3, 2)",0.0
task,68.0,0,533.0,1,"(1, 0)",003,530.0,0,"(3, 2)",1.0
task,69.0,0,458.0,1,"(1, 0)",003,522.0,1,"(2, 3)",0.0
task,70.0,0,502.0,1,"(1, 0)",003,677.0,1,"(3, 2)",0.0
task,71.0,1,472.0,1,"(0, 1)",003,640.0,0,"(4, 5)",0.0
task,72.0,1,521.0,0,"(1, 0)",003,434.0,0,"(5, 4)",1.0
task,73.0,0,557.0,0,"(1, 0)",003,475.0,1,"(4, 5)",0.0
task,74.0,1,471.0,0,"(1, 0)",003,741.0,1,"(5, 4)",0.0
task,75.0,0,503.0,0,"(1, 0)",003,1130.0,1,"(3, 2)",0.0
task,76.0,1,698.0,0,"(1, 0)",003,803.0,0,"(4, 5)",0.0
task,77.0,1,497.0,0,"(1, 0)",003,674.0,0,"(4, 5)",0.0
task,78.0,1,559.0,1,"(0, 1)",003,733.0,1,"(5, 4)",1.0
task,79.0,1,514.0,0,"(1, 0)",003,419.0,0,"(4, 5)",1.0
task,80.0,0,734.0,0,"(0, 1)",003,401.0,0,"(3, 2)",0.0
task,81.0,1,607.0,1,"(0, 1)",003,616.0,0,"(4, 5)",1.0
task,82.0,1,814.0,1,"(0, 1)",003,631.0,1,"(5, 4)",0.0
task,83.0,1,556.0,1,"(0, 1)",003,1127.0,1,"(3, 2)",0.0
task,84.0,1,705.0,0,"(0, 1)",003,620.0,1,"(3, 2)",1.0
task,85.0,0,413.0,1,"(0, 1)",003,487.0,0,"(2, 3)",1.0
task,86.0,1,776.0,1,"(0, 1)",003,604.0,1,"(5, 4)",0.0
task,87.0,1,485.0,1,"(1, 0)",003,574.0,1,"(5, 4)",0.0
task,88.0,1,1161.0,1,"(0, 1)",003,550.0,1,"(2, 3)",0.0
task,89.0,1,488.0,0,"(1, 0)",003,464.0,1,"(5, 4)",1.0
task,90.0,0,474.0,1,"(0, 1)",003,619.0,1,"(2, 3)",1.0
task,91.0,0,395.0,0,"(0, 1)",003,676.0,0,"(2, 3)",1.0
task,92.0,1,509.0,0,"(1, 0)",003,367.0,1,"(5, 4)",0.0
task,93.0,1,446.0,1,"(0, 1)",003,427.0,1,"(5, 4)",1.0
task,94.0,1,364.0,1,"(1, 0)",003,637.0,0,"(4, 5)",0.0
task,95.0,1,506.0,0,"(1, 0)",003,551.0,0,"(4, 5)",1.0
task,96.0,1,323.0,1,"(1, 0)",003,833.0,1,"(3, 2)",1.0
task,97.0,0,441.0,0,"(0, 1)",003,585.0,0,"(2, 3)",1.0
task,98.0,0,532.0,0,"(0, 1)",003,486.0,1,"(2, 3)",0.0
task,99.0,1,404.0,0,"(1, 0)",003,710.0,0,"(4, 5)",0.0
task,100.0,0,499.0,0,"(1, 0)",003,922.0,0,"(4, 5)",0.0
task,101.0,1,396.0,1,"(0, 1)",003,591.0,1,"(5, 4)",1.0
task,102.0,1,544.0,0,"(1, 0)",003,507.0,1,"(5, 4)",1.0
task,103.0,1,460.0,1,"(0, 1)",003,505.0,0,"(4, 5)",1.0
task,104.0,0,547.0,0,"(1, 0)",003,939.0,0,"(4, 5)",1.0
task,105.0,1,715.0,0,"(1, 0)",003,696.0,1,"(4, 5)",0.0
task,106.0,1,915.0,1,"(0, 1)",003,731.0,1,"(4, 5)",1.0
task,107.0,1,579.0,0,"(1, 0)",003,445.0,0,"(4, 5)",1.0
task,108.0,1,485.0,0,"(1, 0)",003,577.0,1,"(2, 3)",0.0
task,109.0,1,308.0,0,"(0, 1)",003,826.0,1,"(4, 5)",0.0
task,110.0,0,437.0,0,"(1, 0)",003,871.0,0,"(2, 3)",0.0
task,111.0,1,502.0,0,"(1, 0)",003,992.0,1,"(5, 4)",0.0
task,112.0,1,605.0,0,"(0, 1)",003,923.0,0,"(2, 3)",0.0
task,113.0,1,866.0,0,"(0, 1)",003,1096.0,0,"(3, 2)",0.0
task,114.0,0,1484.0,1,"(0, 1)",003,1064.0,0,"(2, 3)",1.0
task,115.0,-1,,-1,"(1, 0)",003,-1.0,-1,"(-1, -1)",1.0
task,116.0,1,457.0,0,"(1, 0)",003,697.0,1,"(5, 4)",1.0
task,117.0,0,499.0,0,"(1, 0)",003,1145.0,0,"(2, 3)",0.0
task,118.0,1,452.0,0,"(1, 0)",003,823.0,1,"(3, 2)",0.0
task,119.0,0,580.0,0,"(1, 0)",003,591.0,0,"(4, 5)",0.0
task,120.0,0,397.0,0,"(1, 0)",003,300.0,1,"(4, 5)",0.0
task,121.0,1,516.0,0,"(0, 1)",003,413.0,0,"(2, 3)",0.0
task,122.0,0,483.0,1,"(1, 0)",003,494.0,0,"(3, 2)",1.0
task,123.0,1,559.0,0,"(1, 0)",003,436.0,1,"(3, 2)",1.0
task,124.0,1,458.0,0,"(1, 0)",003,478.0,1,"(5, 4)",0.0
task,125.0,1,521.0,1,"(0, 1)",003,644.0,0,"(3, 2)",1.0
task,126.0,0,650.0,1,"(0, 1)",003,529.0,0,"(4, 5)",0.0
task,127.0,1,438.0,1,"(0, 1)",003,490.0,1,"(5, 4)",0.0
task,128.0,1,508.0,1,"(0, 1)",003,661.0,1,"(5, 4)",0.0
task,129.0,0,607.0,1,"(0, 1)",003,883.0,0,"(4, 5)",0.0
task,130.0,1,1282.0,1,"(0, 1)",003,1061.0,1,"(5, 4)",0.0
task,131.0,1,473.0,0,"(1, 0)",003,732.0,1,"(5, 4)",1.0
task,132.0,1,711.0,1,"(0, 1)",003,849.0,1,"(3, 2)",1.0
task,133.0,0,584.0,1,"(1, 0)",003,506.0,0,"(2, 3)",0.0
task,134.0,0,542.0,0,"(0, 1)",003,599.0,1,"(3, 2)",1.0
task,135.0,1,432.0,0,"(1, 0)",003,668.0,1,"(5, 4)",0.0
task,136.0,1,546.0,0,"(1, 0)",003,581.0,0,"(4, 5)",0.0
task,137.0,1,451.0,1,"(0, 1)",003,479.0,0,"(4, 5)",1.0
task,138.0,1,540.0,1,"(0, 1)",003,860.0,1,"(2, 3)",0.0
