type,trial,FB,fs_RT,fs_choice,fs_stims,id,ss_RT,ss_choice,ss_stims,transition
practice,0.0,1,1416.0,1,"(1, 0)",013,1437.0,5,"(4, 5)",common
practice,1.0,1,971.0,0,"(1, 0)",013,1519.0,2,"(2, 3)",common
practice,2.0,0,522.0,0,"(0, 1)",013,1018.0,4,"(4, 5)",rare
practice,3.0,1,1524.0,0,"(0, 1)",013,834.0,2,"(2, 3)",common
practice,4.0,1,1674.0,1,"(0, 1)",013,463.0,5,"(5, 4)",common
practice,5.0,1,676.0,1,"(0, 1)",013,496.0,4,"(4, 5)",common
practice,6.0,1,765.0,0,"(1, 0)",013,659.0,4,"(4, 5)",rare
practice,7.0,0,1105.0,0,"(1, 0)",013,699.0,3,"(3, 2)",common
practice,8.0,0,842.0,1,"(0, 1)",013,567.0,5,"(5, 4)",common
practice,9.0,0,555.0,1,"(1, 0)",013,550.0,5,"(4, 5)",common
task,0.0,1,646.0,1,"(0, 1)",013,730.0,2,"(2, 3)",rare
task,1.0,0,671.0,0,"(1, 0)",013,775.0,5,"(5, 4)",rare
task,2.0,0,1374.0,0,"(1, 0)",013,958.0,3,"(3, 2)",common
task,3.0,0,1009.0,0,"(1, 0)",013,681.0,2,"(2, 3)",common
task,4.0,0,841.0,1,"(1, 0)",013,886.0,5,"(4, 5)",common
task,5.0,1,732.0,1,"(1, 0)",013,905.0,2,"(2, 3)",rare
task,6.0,0,1409.0,1,"(0, 1)",013,858.0,5,"(4, 5)",common
task,7.0,0,955.0,1,"(1, 0)",013,815.0,3,"(3, 2)",rare
task,8.0,0,516.0,1,"(0, 1)",013,598.0,3,"(3, 2)",rare
task,9.0,-1,,-1,"(1, 0)",013,-1.0,-1,"(-1, -1)",
task,10.0,0,808.0,1,"(0, 1)",013,519.0,4,"(4, 5)",common
task,11.0,0,600.0,1,"(1, 0)",013,916.0,3,"(3, 2)",rare
task,12.0,0,624.0,1,"(1, 0)",013,430.0,5,"(4, 5)",common
task,13.0,-1,,-1,"(0, 1)",013,-1.0,-1,"(-1, -1)",
task,14.0,1,589.0,1,"(1, 0)",013,817.0,2,"(2, 3)",rare
task,15.0,1,850.0,1,"(1, 0)",013,472.0,3,"(3, 2)",rare
task,16.0,0,628.0,0,"(0, 1)",013,478.0,3,"(3, 2)",common
task,17.0,1,729.0,1,"(1, 0)",013,455.0,5,"(5, 4)",common
task,18.0,0,557.0,1,"(1, 0)",013,487.0,4,"(4, 5)",common
task,19.0,0,484.0,1,"(1, 0)",013,1383.0,4,"(4, 5)",common
task,20.0,0,466.0,1,"(1, 0)",013,485.0,4,"(5, 4)",common
task,21.0,0,512.0,1,"(1, 0)",013,616.0,4,"(4, 5)",common
task,22.0,0,674.0,1,"(0, 1)",013,568.0,3,"(2, 3)",rare
task,23.0,0,981.0,1,"(1, 0)",013,653.0,2,"(2, 3)",rare
task,24.0,1,757.0,0,"(0, 1)",013,791.0,4,"(5, 4)",rare
task,25.0,0,623.0,1,"(1, 0)",013,541.0,5,"(4, 5)",common
task,26.0,0,1095.0,1,"(0, 1)",013,606.0,5,"(4, 5)",common
task,27.0,0,1065.0,1,"(1, 0)",013,1002.0,5,"(5, 4)",common
task,28.0,0,675.0,1,"(1, 0)",013,545.0,4,"(5, 4)",common
task,29.0,0,1462.0,0,"(0, 1)",013,1060.0,3,"(2, 3)",common
task,30.0,0,405.0,1,"(0, 1)",013,1275.0,3,"(3, 2)",rare
task,31.0,1,778.0,1,"(1, 0)",013,774.0,4,"(4, 5)",common
task,32.0,0,1491.0,1,"(0, 1)",013,1339.0,3,"(2, 3)",rare
task,33.0,0,1051.0,1,"(1, 0)",013,1665.0,2,"(2, 3)",rare
task,34.0,0,956.0,1,"(1, 0)",013,962.0,4,"(4, 5)",common
task,35.0,1,1219.0,0,"(0, 1)",013,652.0,2,"(2, 3)",common
task,36.0,-1,930.0,1,"(1, 0)",013,,-1,"(2, 3)",rare
task,37.0,0,784.0,1,"(1, 0)",013,938.0,4,"(5, 4)",common
task,38.0,0,627.0,0,"(0, 1)",013,1179.0,3,"(2, 3)",common
task,39.0,1,646.0,1,"(1, 0)",013,1259.0,2,"(2, 3)",rare
task,40.0,1,1729.0,1,"(0, 1)",013,811.0,4,"(4, 5)",common
task,41.0,0,731.0,1,"(1, 0)",013,1034.0,4,"(5, 4)",common
task,42.0,1,584.0,1,"(1, 0)",013,630.0,2,"(2, 3)",rare
task,43.0,1,768.0,1,"(1, 0)",013,1235.0,5,"(4, 5)",common
task,44.0,1,602.0,1,"(1, 0)",013,776.0,4,"(5, 4)",common
task,45.0,1,596.0,1,"(1, 0)",013,894.0,4,"(5, 4)",common
task,46.0,0,977.0,1,"(0, 1)",013,848.0,4,"(4, 5)",common
task,47.0,1,791.0,1,"(0, 1)",013,630.0,5,"(4, 5)",common
task,48.0,0,812.0,1,"(0, 1)",013,948.0,3,"(2, 3)",rare
task,49.0,1,1003.0,1,"(0, 1)",013,812.0,4,"(5, 4)",common
task,50.0,1,623.0,1,"(1, 0)",013,1332.0,5,"(5, 4)",common
task,51.0,1,695.0,1,"(0, 1)",013,1345.0,5,"(4, 5)",common
task,52.0,1,605.0,1,"(0, 1)",013,1245.0,4,"(5, 4)",common
task,53.0,0,593.0,1,"(0, 1)",013,1209.0,5,"(4, 5)",common
task,54.0,1,605.0,1,"(0, 1)",013,1423.0,5,"(5, 4)",common
task,55.0,0,1628.0,1,"(0, 1)",013,881.0,4,"(5, 4)",common
task,56.0,0,721.0,1,"(1, 0)",013,897.0,4,"(4, 5)",common
task,57.0,1,522.0,1,"(1, 0)",013,816.0,4,"(4, 5)",common
task,58.0,1,673.0,1,"(1, 0)",013,868.0,4,"(5, 4)",common
task,59.0,1,596.0,1,"(0, 1)",013,1264.0,4,"(5, 4)",common
task,60.0,1,759.0,1,"(0, 1)",013,1034.0,3,"(3, 2)",rare
task,61.0,0,526.0,1,"(0, 1)",013,842.0,4,"(5, 4)",common
task,62.0,0,460.0,1,"(0, 1)",013,708.0,4,"(4, 5)",common
task,63.0,0,870.0,1,"(1, 0)",013,1104.0,2,"(3, 2)",rare
task,64.0,0,567.0,1,"(1, 0)",013,532.0,3,"(3, 2)",rare
task,65.0,1,702.0,0,"(1, 0)",013,857.0,3,"(3, 2)",common
task,66.0,1,806.0,0,"(0, 1)",013,788.0,3,"(2, 3)",common
task,67.0,1,790.0,1,"(1, 0)",013,691.0,2,"(3, 2)",rare
task,68.0,0,600.0,1,"(0, 1)",013,840.0,4,"(4, 5)",common
task,69.0,0,454.0,1,"(0, 1)",013,1254.0,3,"(2, 3)",rare
task,70.0,0,600.0,1,"(1, 0)",013,966.0,2,"(2, 3)",rare
task,71.0,0,620.0,1,"(1, 0)",013,694.0,4,"(5, 4)",common
task,72.0,1,674.0,0,"(0, 1)",013,884.0,2,"(2, 3)",common
task,73.0,1,820.0,1,"(1, 0)",013,887.0,4,"(5, 4)",common
task,74.0,1,748.0,1,"(1, 0)",013,1297.0,3,"(3, 2)",rare
task,75.0,0,617.0,1,"(0, 1)",013,1060.0,2,"(2, 3)",rare
task,76.0,1,586.0,1,"(1, 0)",013,1051.0,5,"(4, 5)",common
task,77.0,0,535.0,1,"(1, 0)",013,862.0,4,"(5, 4)",common
task,78.0,1,520.0,1,"(1, 0)",013,696.0,5,"(5, 4)",common
task,79.0,0,828.0,1,"(0, 1)",013,1352.0,5,"(4, 5)",common
task,80.0,0,460.0,1,"(0, 1)",013,539.0,3,"(3, 2)",rare
task,81.0,0,509.0,1,"(0, 1)",013,869.0,5,"(4, 5)",common
task,82.0,0,821.0,0,"(1, 0)",013,669.0,5,"(4, 5)",rare
task,83.0,0,560.0,0,"(0, 1)",013,981.0,4,"(4, 5)",rare
task,84.0,1,680.0,1,"(0, 1)",013,1231.0,4,"(4, 5)",common
task,85.0,0,758.0,1,"(0, 1)",013,1347.0,5,"(5, 4)",common
task,86.0,0,423.0,1,"(0, 1)",013,688.0,3,"(2, 3)",rare
task,87.0,1,577.0,0,"(1, 0)",013,469.0,3,"(2, 3)",common
task,88.0,1,810.0,1,"(0, 1)",013,624.0,3,"(3, 2)",rare
task,89.0,0,624.0,1,"(0, 1)",013,885.0,5,"(5, 4)",common
task,90.0,0,465.0,1,"(1, 0)",013,1045.0,4,"(4, 5)",common
task,91.0,1,438.0,1,"(1, 0)",013,661.0,4,"(5, 4)",common
task,92.0,0,906.0,1,"(0, 1)",013,872.0,4,"(5, 4)",common
task,93.0,1,615.0,1,"(1, 0)",013,1209.0,4,"(4, 5)",common
task,94.0,1,577.0,1,"(1, 0)",013,456.0,4,"(4, 5)",common
task,95.0,0,338.0,1,"(1, 0)",013,451.0,5,"(5, 4)",common
task,96.0,1,320.0,0,"(0, 1)",013,479.0,3,"(3, 2)",common
task,97.0,1,407.0,1,"(1, 0)",013,387.0,2,"(2, 3)",rare
task,98.0,1,601.0,0,"(0, 1)",013,495.0,2,"(2, 3)",common
task,99.0,0,578.0,1,"(1, 0)",013,577.0,2,"(2, 3)",rare
task,100.0,-1,525.0,1,"(1, 0)",013,,-1,"(4, 5)",common
task,101.0,0,713.0,0,"(0, 1)",013,632.0,5,"(5, 4)",rare
task,102.0,1,627.0,1,"(0, 1)",013,671.0,4,"(4, 5)",common
task,103.0,1,604.0,0,"(1, 0)",013,540.0,3,"(3, 2)",common
task,104.0,1,465.0,0,"(1, 0)",013,458.0,2,"(2, 3)",common
task,105.0,1,835.0,1,"(1, 0)",013,696.0,4,"(5, 4)",common
task,106.0,1,396.0,0,"(0, 1)",013,485.0,3,"(2, 3)",common
task,107.0,1,563.0,0,"(0, 1)",013,528.0,3,"(2, 3)",common
task,108.0,0,589.0,1,"(1, 0)",013,479.0,2,"(3, 2)",rare
task,109.0,1,924.0,0,"(1, 0)",013,592.0,5,"(5, 4)",rare
task,110.0,1,413.0,1,"(0, 1)",013,353.0,5,"(5, 4)",common
task,111.0,1,404.0,0,"(1, 0)",013,438.0,5,"(5, 4)",rare
task,112.0,1,431.0,0,"(1, 0)",013,526.0,4,"(4, 5)",rare
task,113.0,0,860.0,0,"(1, 0)",013,437.0,2,"(2, 3)",common
task,114.0,1,349.0,1,"(1, 0)",013,523.0,5,"(4, 5)",common
task,115.0,0,344.0,1,"(1, 0)",013,355.0,5,"(4, 5)",common
task,116.0,1,664.0,1,"(0, 1)",013,442.0,5,"(5, 4)",common
task,117.0,0,320.0,1,"(0, 1)",013,426.0,4,"(4, 5)",common
task,118.0,-1,,-1,"(0, 1)",013,-1.0,-1,"(-1, -1)",
task,119.0,1,463.0,0,"(1, 0)",013,100.0,3,"(3, 2)",common
task,120.0,1,621.0,1,"(1, 0)",013,438.0,3,"(2, 3)",rare
task,121.0,0,356.0,0,"(0, 1)",013,350.0,3,"(2, 3)",common
task,122.0,0,447.0,1,"(0, 1)",013,294.0,5,"(5, 4)",common
task,123.0,1,1033.0,0,"(1, 0)",013,294.0,2,"(2, 3)",common
task,124.0,1,574.0,1,"(0, 1)",013,261.0,2,"(2, 3)",rare
task,125.0,1,337.0,1,"(0, 1)",013,425.0,5,"(5, 4)",common
task,126.0,0,363.0,0,"(1, 0)",013,493.0,3,"(3, 2)",common
task,127.0,0,300.0,1,"(1, 0)",013,495.0,4,"(5, 4)",common
task,128.0,1,286.0,1,"(1, 0)",013,352.0,3,"(2, 3)",rare
task,129.0,0,409.0,0,"(0, 1)",013,316.0,3,"(2, 3)",common
task,130.0,0,295.0,0,"(0, 1)",013,342.0,2,"(3, 2)",common
task,131.0,0,138.0,1,"(0, 1)",013,282.0,5,"(5, 4)",common
task,132.0,1,467.0,0,"(0, 1)",013,341.0,4,"(5, 4)",rare
task,133.0,1,1048.0,0,"(0, 1)",013,411.0,3,"(2, 3)",common
task,134.0,0,308.0,1,"(1, 0)",013,300.0,3,"(2, 3)",rare
task,135.0,0,811.0,0,"(0, 1)",013,341.0,5,"(4, 5)",rare
task,136.0,1,327.0,1,"(0, 1)",013,107.0,3,"(3, 2)",rare
task,137.0,1,345.0,0,"(1, 0)",013,289.0,2,"(2, 3)",common
task,138.0,0,363.0,1,"(0, 1)",013,367.0,5,"(5, 4)",common
task,139.0,0,1.0,0,"(0, 1)",013,278.0,4,"(5, 4)",rare
task,140.0,0,779.0,0,"(0, 1)",013,300.0,5,"(4, 5)",rare
task,141.0,1,926.0,0,"(1, 0)",013,218.0,3,"(3, 2)",common
task,142.0,0,444.0,1,"(0, 1)",013,382.0,5,"(5, 4)",common
task,143.0,0,975.0,0,"(0, 1)",013,512.0,3,"(2, 3)",common
task,144.0,1,314.0,0,"(0, 1)",013,367.0,5,"(4, 5)",rare
task,145.0,0,456.0,0,"(0, 1)",013,371.0,4,"(5, 4)",rare
task,146.0,1,474.0,1,"(0, 1)",013,340.0,5,"(5, 4)",common
task,147.0,1,450.0,1,"(0, 1)",013,333.0,4,"(4, 5)",common
task,148.0,0,515.0,0,"(1, 0)",013,335.0,4,"(4, 5)",rare
task,149.0,0,753.0,0,"(0, 1)",013,145.0,3,"(2, 3)",common
task,150.0,1,526.0,0,"(1, 0)",013,368.0,2,"(2, 3)",common
task,151.0,0,485.0,1,"(0, 1)",013,442.0,4,"(4, 5)",common
task,152.0,-1,,-1,"(1, 0)",013,-1.0,-1,"(-1, -1)",
task,153.0,0,415.0,1,"(1, 0)",013,377.0,2,"(3, 2)",rare
task,154.0,0,454.0,1,"(0, 1)",013,468.0,4,"(4, 5)",common
task,155.0,0,35.0,0,"(0, 1)",013,681.0,2,"(3, 2)",common
task,156.0,1,534.0,0,"(0, 1)",013,480.0,2,"(2, 3)",common
task,157.0,0,483.0,0,"(0, 1)",013,384.0,2,"(2, 3)",common
task,158.0,1,1115.0,0,"(0, 1)",013,448.0,3,"(3, 2)",common
task,159.0,0,421.0,1,"(0, 1)",013,498.0,5,"(4, 5)",common
task,160.0,1,416.0,0,"(0, 1)",013,400.0,2,"(2, 3)",common
task,161.0,0,382.0,0,"(0, 1)",013,434.0,3,"(3, 2)",common
task,162.0,0,851.0,1,"(1, 0)",013,522.0,3,"(2, 3)",rare
task,163.0,1,414.0,1,"(0, 1)",013,453.0,4,"(5, 4)",common
task,164.0,1,467.0,0,"(1, 0)",013,1064.0,2,"(3, 2)",common
task,165.0,1,522.0,1,"(0, 1)",013,555.0,4,"(5, 4)",common
task,166.0,1,337.0,1,"(0, 1)",013,460.0,5,"(4, 5)",common
task,167.0,0,419.0,0,"(1, 0)",013,370.0,2,"(3, 2)",common
task,168.0,1,439.0,1,"(1, 0)",013,366.0,5,"(5, 4)",common
task,169.0,1,438.0,1,"(1, 0)",013,403.0,2,"(2, 3)",rare
task,170.0,0,390.0,0,"(0, 1)",013,501.0,2,"(2, 3)",common
task,171.0,1,404.0,1,"(0, 1)",013,405.0,4,"(5, 4)",common
task,172.0,1,658.0,1,"(0, 1)",013,604.0,4,"(5, 4)",common
task,173.0,1,356.0,0,"(1, 0)",013,490.0,3,"(2, 3)",common
task,174.0,1,380.0,0,"(1, 0)",013,394.0,3,"(2, 3)",common
task,175.0,1,435.0,0,"(1, 0)",013,414.0,5,"(4, 5)",rare
task,176.0,0,345.0,1,"(0, 1)",013,428.0,5,"(4, 5)",common
task,177.0,0,292.0,0,"(0, 1)",013,540.0,3,"(3, 2)",common
task,178.0,1,534.0,0,"(0, 1)",013,443.0,3,"(2, 3)",common
