type,trial,FB,fs_RT,fs_choice,fs_stims,id,ss_RT,ss_choice,ss_stims,transition
practice,0.0,-1,,-1,"(0, 1)",016,-1,-1,-1,
practice,1.0,1,734.0,0,"(1, 0)",016,969,5,"(4, 5)",rare
practice,2.0,1,1233.0,0,"(0, 1)",016,626,3,"(2, 3)",common
practice,3.0,1,447.0,0,"(0, 1)",016,364,4,"(5, 4)",rare
practice,4.0,0,674.0,1,"(1, 0)",016,572,5,"(4, 5)",common
practice,5.0,1,473.0,0,"(0, 1)",016,522,3,"(3, 2)",common
practice,6.0,1,557.0,0,"(1, 0)",016,476,2,"(2, 3)",common
practice,7.0,1,351.0,1,"(1, 0)",016,501,5,"(4, 5)",common
practice,8.0,1,337.0,0,"(0, 1)",016,511,5,"(4, 5)",rare
practice,9.0,0,664.0,1,"(1, 0)",016,455,4,"(4, 5)",common
task,0.0,0,782.0,1,"(1, 0)",016,396,5,"(4, 5)",common
task,1.0,0,453.0,0,"(0, 1)",016,330,2,"(2, 3)",common
task,2.0,1,538.0,0,"(1, 0)",016,423,4,"(4, 5)",rare
task,3.0,1,477.0,0,"(0, 1)",016,482,3,"(3, 2)",common
task,4.0,1,323.0,0,"(1, 0)",016,477,3,"(2, 3)",common
task,5.0,1,322.0,0,"(0, 1)",016,378,4,"(5, 4)",rare
task,6.0,1,503.0,0,"(0, 1)",016,487,3,"(3, 2)",common
task,7.0,0,295.0,1,"(0, 1)",016,399,5,"(5, 4)",common
task,8.0,0,470.0,0,"(0, 1)",016,416,3,"(3, 2)",common
task,9.0,1,490.0,1,"(0, 1)",016,321,5,"(4, 5)",common
task,10.0,1,554.0,0,"(0, 1)",016,375,5,"(5, 4)",rare
task,11.0,0,395.0,0,"(0, 1)",016,512,3,"(2, 3)",common
task,12.0,0,590.0,1,"(0, 1)",016,455,3,"(2, 3)",rare
task,13.0,1,486.0,1,"(1, 0)",016,424,3,"(2, 3)",rare
task,14.0,0,534.0,1,"(1, 0)",016,430,3,"(2, 3)",rare
task,15.0,1,505.0,0,"(0, 1)",016,463,3,"(3, 2)",common
task,16.0,0,404.0,1,"(0, 1)",016,372,3,"(3, 2)",rare
task,17.0,0,440.0,0,"(1, 0)",016,470,2,"(2, 3)",common
task,18.0,0,440.0,1,"(1, 0)",016,418,5,"(5, 4)",common
task,19.0,0,509.0,0,"(1, 0)",016,424,5,"(5, 4)",rare
task,20.0,0,498.0,0,"(1, 0)",016,1000,2,"(2, 3)",common
task,21.0,0,526.0,1,"(1, 0)",016,397,3,"(2, 3)",rare
task,22.0,1,472.0,0,"(1, 0)",016,297,2,"(3, 2)",common
task,23.0,1,452.0,0,"(1, 0)",016,460,3,"(2, 3)",common
task,24.0,0,457.0,0,"(1, 0)",016,505,3,"(2, 3)",common
task,25.0,1,583.0,1,"(0, 1)",016,664,4,"(5, 4)",common
task,26.0,0,453.0,0,"(0, 1)",016,480,3,"(3, 2)",common
task,27.0,0,563.0,1,"(0, 1)",016,599,2,"(3, 2)",rare
task,28.0,0,353.0,0,"(1, 0)",016,545,2,"(2, 3)",common
task,29.0,1,445.0,0,"(0, 1)",016,660,3,"(3, 2)",common
task,30.0,0,554.0,1,"(1, 0)",016,522,2,"(2, 3)",rare
task,31.0,0,469.0,0,"(0, 1)",016,407,2,"(2, 3)",common
task,32.0,1,514.0,0,"(1, 0)",016,642,3,"(2, 3)",common
task,33.0,1,427.0,0,"(0, 1)",016,578,3,"(3, 2)",common
task,34.0,1,344.0,0,"(0, 1)",016,573,2,"(2, 3)",common
task,35.0,1,369.0,0,"(0, 1)",016,470,5,"(5, 4)",rare
task,36.0,0,395.0,1,"(0, 1)",016,466,4,"(4, 5)",common
task,37.0,0,404.0,0,"(0, 1)",016,513,3,"(2, 3)",common
task,38.0,0,364.0,0,"(0, 1)",016,486,3,"(3, 2)",common
task,39.0,1,432.0,1,"(0, 1)",016,488,3,"(2, 3)",rare
task,40.0,0,399.0,1,"(1, 0)",016,754,4,"(5, 4)",common
task,41.0,1,509.0,1,"(1, 0)",016,629,5,"(4, 5)",common
task,42.0,1,422.0,1,"(1, 0)",016,681,2,"(2, 3)",rare
task,43.0,1,718.0,0,"(1, 0)",016,576,3,"(2, 3)",common
task,44.0,0,344.0,0,"(0, 1)",016,460,3,"(2, 3)",common
task,45.0,1,500.0,1,"(1, 0)",016,399,5,"(5, 4)",common
task,46.0,1,482.0,1,"(1, 0)",016,429,5,"(5, 4)",common
task,47.0,0,412.0,0,"(0, 1)",016,429,2,"(3, 2)",common
task,48.0,1,352.0,0,"(1, 0)",016,623,4,"(5, 4)",rare
task,49.0,0,470.0,1,"(1, 0)",016,586,4,"(5, 4)",common
task,50.0,1,351.0,0,"(0, 1)",016,368,3,"(3, 2)",common
task,51.0,0,441.0,0,"(0, 1)",016,484,3,"(3, 2)",common
task,52.0,0,427.0,0,"(1, 0)",016,557,3,"(2, 3)",common
task,53.0,0,416.0,1,"(1, 0)",016,539,2,"(3, 2)",rare
task,54.0,1,1396.0,0,"(1, 0)",016,420,4,"(4, 5)",rare
task,55.0,0,579.0,0,"(1, 0)",016,685,2,"(3, 2)",common
task,56.0,0,476.0,0,"(1, 0)",016,692,3,"(2, 3)",common
task,57.0,0,573.0,1,"(0, 1)",016,439,2,"(2, 3)",rare
task,58.0,0,365.0,1,"(1, 0)",016,482,2,"(3, 2)",rare
task,59.0,1,608.0,1,"(1, 0)",016,440,4,"(5, 4)",common
task,60.0,1,557.0,1,"(0, 1)",016,740,5,"(5, 4)",common
task,61.0,1,388.0,1,"(1, 0)",016,477,4,"(5, 4)",common
task,62.0,0,420.0,1,"(1, 0)",016,459,2,"(3, 2)",rare
task,63.0,1,457.0,0,"(0, 1)",016,424,3,"(3, 2)",common
task,64.0,1,484.0,0,"(0, 1)",016,551,2,"(3, 2)",common
task,65.0,1,484.0,1,"(1, 0)",016,503,5,"(5, 4)",common
task,66.0,0,405.0,1,"(0, 1)",016,354,2,"(3, 2)",rare
task,67.0,0,563.0,0,"(1, 0)",016,353,5,"(5, 4)",rare
task,68.0,0,614.0,0,"(0, 1)",016,486,2,"(3, 2)",common
task,69.0,1,406.0,1,"(1, 0)",016,547,4,"(5, 4)",common
task,70.0,0,559.0,1,"(0, 1)",016,490,2,"(3, 2)",rare
task,71.0,0,583.0,1,"(0, 1)",016,664,5,"(4, 5)",common
task,72.0,0,453.0,0,"(0, 1)",016,456,2,"(2, 3)",common
