type,trial,FB,fs_RT,fs_choice,fs_stims,id,ss_RT,ss_choice,ss_stims,transition
practice,0.0,-1,,-1,"(1, 0)",017,-1,-1,-1,
practice,1.0,-1,,-1,"(0, 1)",017,-1,-1,-1,
practice,2.0,1,405.0,0,"(1, 0)",017,1250,3,"(2, 3)",common
practice,3.0,0,499.0,1,"(0, 1)",017,645,3,"(2, 3)",rare
practice,4.0,1,908.0,1,"(1, 0)",017,1139,4,"(5, 4)",common
practice,5.0,1,504.0,1,"(0, 1)",017,858,4,"(4, 5)",common
practice,6.0,1,683.0,1,"(1, 0)",017,755,4,"(5, 4)",common
practice,7.0,1,511.0,1,"(1, 0)",017,566,4,"(5, 4)",common
practice,8.0,1,565.0,1,"(0, 1)",017,1020,3,"(3, 2)",rare
practice,9.0,0,538.0,1,"(0, 1)",017,864,3,"(2, 3)",rare
task,0.0,0,535.0,0,"(1, 0)",017,532,3,"(2, 3)",common
task,1.0,1,792.0,1,"(0, 1)",017,724,5,"(5, 4)",common
task,2.0,1,937.0,1,"(0, 1)",017,636,5,"(5, 4)",common
task,3.0,1,827.0,1,"(1, 0)",017,640,5,"(5, 4)",common
task,4.0,0,513.0,1,"(1, 0)",017,646,5,"(5, 4)",common
task,5.0,1,658.0,1,"(1, 0)",017,546,5,"(5, 4)",common
task,6.0,1,1177.0,1,"(0, 1)",017,574,5,"(5, 4)",common
task,7.0,1,469.0,1,"(0, 1)",017,441,4,"(4, 5)",common
task,8.0,1,1302.0,1,"(1, 0)",017,715,2,"(2, 3)",rare
task,9.0,1,869.0,1,"(1, 0)",017,554,5,"(4, 5)",common
task,10.0,0,935.0,1,"(1, 0)",017,650,5,"(4, 5)",common
task,11.0,1,830.0,1,"(1, 0)",017,685,5,"(5, 4)",common
task,12.0,1,900.0,1,"(0, 1)",017,553,5,"(4, 5)",common
task,13.0,1,429.0,1,"(0, 1)",017,756,2,"(2, 3)",rare
task,14.0,1,565.0,0,"(1, 0)",017,909,3,"(2, 3)",common
task,15.0,1,586.0,1,"(0, 1)",017,692,5,"(4, 5)",common
task,16.0,1,1139.0,0,"(1, 0)",017,852,3,"(2, 3)",common
task,17.0,1,784.0,1,"(0, 1)",017,877,2,"(2, 3)",rare
task,18.0,0,723.0,0,"(0, 1)",017,727,3,"(2, 3)",common
task,19.0,1,492.0,1,"(1, 0)",017,454,5,"(4, 5)",common
task,20.0,1,476.0,1,"(1, 0)",017,500,5,"(4, 5)",common
task,21.0,1,445.0,1,"(1, 0)",017,727,5,"(5, 4)",common
task,22.0,1,712.0,1,"(1, 0)",017,1004,2,"(3, 2)",rare
task,23.0,0,450.0,1,"(1, 0)",017,472,5,"(4, 5)",common
task,24.0,0,600.0,1,"(0, 1)",017,512,5,"(4, 5)",common
task,25.0,1,968.0,0,"(1, 0)",017,1249,3,"(3, 2)",common
task,26.0,0,834.0,0,"(1, 0)",017,451,3,"(3, 2)",common
task,27.0,0,862.0,1,"(0, 1)",017,680,2,"(3, 2)",rare
task,28.0,1,674.0,1,"(0, 1)",017,1221,2,"(2, 3)",rare
task,29.0,1,585.0,1,"(0, 1)",017,536,5,"(4, 5)",common
task,30.0,0,461.0,1,"(0, 1)",017,958,2,"(3, 2)",rare
task,31.0,1,893.0,1,"(1, 0)",017,753,5,"(5, 4)",common
task,32.0,1,564.0,1,"(1, 0)",017,624,2,"(3, 2)",rare
task,33.0,0,614.0,1,"(0, 1)",017,426,5,"(5, 4)",common
task,34.0,1,580.0,1,"(1, 0)",017,417,5,"(4, 5)",common
task,35.0,1,494.0,1,"(0, 1)",017,475,5,"(5, 4)",common
task,36.0,0,613.0,1,"(0, 1)",017,640,5,"(4, 5)",common
task,37.0,0,518.0,1,"(1, 0)",017,607,5,"(5, 4)",common
task,38.0,1,554.0,1,"(0, 1)",017,633,4,"(4, 5)",common
task,39.0,1,531.0,1,"(0, 1)",017,578,4,"(5, 4)",common
task,40.0,0,431.0,1,"(0, 1)",017,541,4,"(4, 5)",common
task,41.0,1,1133.0,1,"(0, 1)",017,687,4,"(4, 5)",common
task,42.0,1,509.0,0,"(1, 0)",017,993,2,"(2, 3)",common
task,43.0,0,719.0,0,"(0, 1)",017,804,4,"(5, 4)",rare
task,44.0,0,528.0,1,"(1, 0)",017,467,5,"(4, 5)",common
task,45.0,0,548.0,0,"(1, 0)",017,689,2,"(3, 2)",common
task,46.0,1,992.0,1,"(0, 1)",017,602,5,"(5, 4)",common
task,47.0,0,631.0,1,"(0, 1)",017,645,2,"(3, 2)",rare
