trial,rt,type,color_choice,word_color,word_text,congruent,correct,repeat_stim,id
0,7026,practice,red,red,green,False,True,False,010
1,4248,practice,green,green,red,False,True,False,010
2,4917,practice,red,red,blue,False,True,False,010
3,2338,practice,blue,blue,blue,True,True,False,010
4,2384,practice,green,green,green,True,True,False,010
5,1841,practice,red,red,green,False,True,False,010
6,1135,practice,red,red,blue,False,True,False,010
7,1212,practice,green,green,green,True,True,False,010
8,1653,practice,green,green,red,False,True,False,010
9,1323,practice,red,red,red,True,True,False,010
10,995,practice,red,red,red,True,True,True,010
11,887,practice,green,green,green,True,True,False,010
12,931,practice,red,red,red,True,True,False,010
13,1890,practice,blue,blue,red,False,True,False,010
14,1197,practice,blue,blue,blue,True,True,False,010
15,717,practice,blue,blue,blue,True,True,True,010
16,1278,practice,green,green,blue,False,True,False,010
17,1481,practice,blue,blue,red,False,True,False,010
18,1277,practice,blue,blue,green,False,True,False,010
19,1010,practice,red,red,red,True,True,False,010
20,1011,practice,blue,blue,blue,True,True,False,010
21,1479,practice,green,green,blue,False,True,False,010
22,856,practice,green,green,green,True,True,False,010
23,2092,practice,blue,blue,green,False,True,False,010
24,1368,infrequent,blue,blue,blue,True,True,False,010
25,793,infrequent,blue,blue,blue,True,True,True,010
26,871,infrequent,red,red,red,True,True,False,010
27,605,infrequent,red,red,red,True,True,True,010
28,802,infrequent,blue,blue,blue,True,True,False,010
29,856,infrequent,red,red,red,True,True,False,010
30,918,infrequent,blue,blue,blue,True,True,False,010
31,778,infrequent,red,red,red,True,True,False,010
32,793,infrequent,blue,blue,blue,True,True,False,010
33,871,infrequent,blue,blue,blue,True,True,True,010
34,807,infrequent,green,green,green,True,True,False,010
35,1196,infrequent,green,green,blue,False,True,False,010
36,826,infrequent,red,red,red,True,True,False,010
37,1170,infrequent,green,green,red,False,True,False,010
38,981,infrequent,red,red,red,True,True,False,010
39,870,infrequent,blue,blue,blue,True,True,False,010
40,774,infrequent,green,green,green,True,True,False,010
41,1153,infrequent,blue,blue,blue,True,True,False,010
42,801,infrequent,blue,blue,blue,True,True,True,010
43,1403,infrequent,blue,blue,green,False,True,False,010
44,795,infrequent,red,red,red,True,True,False,010
45,1091,infrequent,red,red,green,False,True,False,010
46,1247,infrequent,blue,blue,red,False,True,False,010
47,1153,infrequent,green,green,green,True,True,False,010
48,946,infrequent,red,red,red,True,True,False,010
49,1527,infrequent,red,red,blue,False,True,False,010
50,746,infrequent,red,red,blue,False,True,True,010
51,839,infrequent,green,green,green,True,True,False,010
52,714,infrequent,green,green,green,True,True,True,010
53,762,infrequent,green,green,green,True,True,True,010
54,872,infrequent,blue,blue,blue,True,True,False,010
55,840,infrequent,green,green,green,True,True,False,010
56,763,infrequent,red,red,red,True,True,False,010
57,745,infrequent,red,red,red,True,True,True,010
58,825,infrequent,green,green,green,True,True,False,010
59,762,infrequent,green,green,green,True,True,True,010
60,861,infrequent,red,red,red,True,True,False,010
61,669,infrequent,red,red,red,True,True,True,010
62,682,infrequent,green,green,green,True,True,False,010
63,741,infrequent,blue,blue,blue,True,True,False,010
64,651,infrequent,blue,blue,blue,True,True,True,010
65,668,infrequent,blue,blue,blue,True,True,True,010
66,658,infrequent,blue,blue,blue,True,True,True,010
67,997,infrequent,red,red,green,False,True,False,010
68,777,infrequent,blue,blue,blue,True,True,False,010
69,1075,infrequent,green,green,red,False,True,False,010
70,810,infrequent,blue,blue,blue,True,True,False,010
71,1198,infrequent,blue,blue,green,False,True,False,010
72,871,infrequent,red,red,red,True,True,False,010
73,871,infrequent,green,green,green,True,True,False,010
74,1372,infrequent,blue,blue,green,False,True,False,010
75,887,infrequent,blue,blue,red,False,True,False,010
76,825,infrequent,blue,blue,blue,True,True,False,010
77,761,infrequent,green,green,green,True,True,False,010
78,616,infrequent,green,green,green,True,True,True,010
79,804,infrequent,blue,blue,blue,True,True,False,010
80,793,infrequent,red,red,red,True,True,False,010
81,827,infrequent,blue,blue,blue,True,True,False,010
82,731,infrequent,green,green,green,True,True,False,010
83,698,infrequent,green,green,green,True,True,True,010
84,670,infrequent,green,green,green,True,True,True,010
85,684,infrequent,green,green,green,True,True,True,010
86,623,infrequent,green,green,green,True,True,True,010
87,762,infrequent,blue,blue,blue,True,True,False,010
88,778,infrequent,red,red,red,True,True,False,010
89,714,infrequent,green,green,green,True,True,False,010
90,668,infrequent,green,green,green,True,True,True,010
91,764,infrequent,blue,blue,blue,True,True,False,010
92,714,infrequent,red,red,red,True,True,False,010
93,590,infrequent,red,red,red,True,True,True,010
94,1152,infrequent,blue,blue,green,False,True,False,010
95,809,infrequent,red,red,red,True,True,False,010
96,1170,infrequent,blue,blue,blue,True,True,False,010
97,824,infrequent,red,red,red,True,True,False,010
98,888,infrequent,red,red,red,True,True,True,010
99,639,infrequent,red,red,red,True,True,True,010
100,730,infrequent,green,green,green,True,True,False,010
101,857,infrequent,red,red,red,True,True,False,010
102,1107,infrequent,red,red,green,False,True,False,010
103,842,infrequent,blue,blue,blue,True,True,False,010
104,1168,infrequent,green,green,blue,False,True,False,010
105,845,infrequent,green,green,green,True,True,False,010
106,918,infrequent,red,red,red,True,True,False,010
107,824,infrequent,blue,blue,blue,True,True,False,010
108,626,infrequent,green,green,green,True,True,False,010
109,1433,infrequent,red,red,red,True,True,False,010
110,793,infrequent,blue,blue,blue,True,True,False,010
111,652,infrequent,green,green,green,True,True,False,010
112,1246,infrequent,red,red,green,False,True,False,010
113,965,infrequent,green,green,green,True,True,False,010
114,871,infrequent,red,red,red,True,True,False,010
115,818,infrequent,blue,blue,blue,True,True,False,010
116,823,infrequent,green,green,green,True,True,False,010
117,1076,infrequent,red,red,blue,False,True,False,010
118,904,infrequent,blue,blue,blue,True,True,False,010
119,1293,infrequent,green,green,blue,False,True,False,010
120,759,infrequent,red,red,red,True,True,False,010
121,1212,infrequent,blue,blue,red,False,True,False,010
122,700,infrequent,red,red,red,True,True,False,010
123,700,infrequent,green,green,green,True,True,False,010
124,824,infrequent,green,green,green,True,True,True,010
125,689,infrequent,green,green,green,True,True,True,010
126,620,infrequent,green,green,green,True,True,True,010
127,1605,infrequent,green,green,red,False,True,False,010
128,1217,infrequent,red,red,blue,False,True,False,010
129,951,infrequent,red,red,red,True,True,False,010
130,637,infrequent,red,red,red,True,True,True,010
131,779,infrequent,blue,blue,blue,True,True,False,010
132,527,infrequent,blue,blue,blue,True,True,True,010
133,667,infrequent,blue,blue,blue,True,True,True,010
134,1294,infrequent,green,green,red,False,True,False,010
135,838,infrequent,blue,blue,blue,True,True,False,010
136,1540,infrequent,blue,blue,blue,True,True,True,010
137,871,infrequent,green,green,green,True,True,False,010
138,793,infrequent,red,red,red,True,True,False,010
139,685,infrequent,red,red,red,True,True,True,010
140,698,infrequent,red,red,red,True,True,True,010
141,1106,infrequent,green,green,blue,False,True,False,010
142,761,infrequent,green,green,green,True,True,False,010
143,1438,infrequent,blue,blue,red,False,True,False,010
144,2433,frequent,blue,blue,red,False,True,True,010
145,1136,frequent,green,blue,green,False,False,False,010
146,793,frequent,blue,blue,blue,True,True,False,010
147,918,frequent,blue,blue,green,False,True,False,010
148,1042,frequent,blue,blue,red,False,True,False,010
149,1043,frequent,blue,blue,green,False,True,False,010
150,1167,frequent,green,green,red,False,True,False,010
151,918,frequent,green,green,red,False,True,True,010
152,811,frequent,green,green,blue,False,True,False,010
153,1246,frequent,red,red,blue,False,True,False,010
154,1075,frequent,green,green,red,False,True,False,010
155,1214,frequent,blue,blue,blue,True,True,False,010
156,904,frequent,red,red,red,True,True,False,010
157,1434,frequent,green,green,green,True,True,False,010
158,841,frequent,red,red,red,True,True,False,010
159,902,frequent,blue,blue,blue,True,True,False,010
160,857,frequent,blue,blue,green,False,True,False,010
161,1011,frequent,red,red,green,False,True,False,010
162,1293,frequent,green,green,blue,False,True,False,010
163,1200,frequent,red,red,blue,False,True,False,010
164,916,frequent,red,red,green,False,True,False,010
165,2135,frequent,green,green,red,False,True,False,010
166,1136,frequent,red,red,green,False,True,False,010
167,808,frequent,green,green,green,True,True,False,010
168,901,frequent,green,green,blue,False,True,False,010
169,1349,frequent,blue,blue,green,False,True,False,010
170,888,frequent,red,red,blue,False,True,False,010
171,714,frequent,red,red,red,True,True,False,010
172,1093,frequent,blue,blue,red,False,True,False,010
173,714,frequent,blue,blue,red,False,True,True,010
174,890,frequent,red,red,red,True,True,False,010
175,669,frequent,red,red,red,True,True,True,010
176,995,frequent,blue,blue,red,False,True,False,010
177,1118,frequent,green,green,red,False,True,False,010
178,684,frequent,green,green,red,False,True,True,010
