trial,rt,type,color_choice,word_color,word_text,congruent,correct,repeat_stim,id
0,2247,practice,green,green,green,True,True,False,017
1,1153,practice,blue,blue,red,False,True,False,017
2,1528,practice,green,green,red,False,True,False,017
3,1404,practice,red,red,red,True,True,False,017
4,934,practice,blue,blue,blue,True,True,False,017
5,841,practice,green,green,blue,False,True,False,017
6,809,practice,blue,blue,blue,True,True,False,017
7,684,practice,blue,blue,blue,True,True,True,017
8,513,practice,red,red,red,True,True,False,017
9,997,practice,red,red,green,False,True,False,017
10,795,practice,blue,blue,green,False,True,False,017
11,654,practice,green,green,green,True,True,False,017
12,700,practice,blue,blue,green,False,True,False,017
13,497,practice,green,green,green,True,True,False,017
14,669,practice,green,green,blue,False,True,False,017
15,778,practice,blue,blue,red,False,True,False,017
16,466,practice,blue,blue,blue,True,True,False,017
17,603,practice,red,red,red,True,True,False,017
18,499,practice,red,red,blue,False,True,False,017
19,483,practice,red,red,blue,False,True,True,017
20,481,practice,red,red,red,True,True,False,017
21,528,practice,green,green,red,False,True,False,017
22,325,practice,green,green,green,True,True,False,017
23,513,practice,red,red,green,False,True,False,017
24,826,frequent,blue,blue,blue,True,True,False,017
25,559,frequent,blue,blue,green,False,True,False,017
26,545,frequent,blue,blue,red,False,True,False,017
27,733,frequent,red,red,blue,False,True,False,017
28,374,frequent,red,red,red,True,True,False,017
29,654,frequent,blue,green,blue,False,False,False,017
30,716,frequent,green,green,blue,False,True,True,017
31,481,frequent,green,green,blue,False,True,True,017
32,700,frequent,blue,blue,red,False,True,False,017
33,653,frequent,red,red,green,False,True,False,017
34,919,frequent,green,green,red,False,True,False,017
35,388,frequent,green,green,blue,False,True,False,017
36,372,frequent,green,green,blue,False,True,True,017
37,389,frequent,green,green,green,True,True,False,017
38,358,frequent,green,green,red,False,True,False,017
39,481,frequent,red,red,red,True,True,False,017
40,450,frequent,green,green,blue,False,True,False,017
41,951,frequent,red,red,green,False,True,False,017
42,544,frequent,blue,blue,red,False,True,False,017
43,373,frequent,blue,blue,red,False,True,True,017
44,771,frequent,green,green,red,False,True,False,017
45,809,frequent,blue,blue,green,False,True,False,017
46,390,frequent,blue,blue,green,False,True,True,017
47,747,frequent,green,green,red,False,True,False,017
48,561,frequent,blue,blue,red,False,True,False,017
49,449,frequent,blue,blue,blue,True,True,False,017
50,559,frequent,red,red,green,False,True,False,017
51,716,frequent,green,blue,green,False,False,False,017
52,747,frequent,blue,blue,green,False,True,True,017
53,918,frequent,green,green,red,False,True,False,017
54,700,frequent,red,red,blue,False,True,False,017
55,1045,frequent,blue,blue,red,False,True,False,017
56,733,frequent,green,green,red,False,True,False,017
57,450,frequent,green,green,green,True,True,False,017
58,637,frequent,blue,blue,green,False,True,False,017
59,341,frequent,blue,blue,blue,True,True,False,017
60,481,frequent,green,green,red,False,True,False,017
61,364,frequent,green,green,blue,False,True,False,017
62,357,frequent,green,green,red,False,True,False,017
63,340,frequent,green,green,blue,False,True,False,017
64,388,frequent,green,green,red,False,True,False,017
65,716,frequent,red,red,green,False,True,False,017
66,401,frequent,green,green,red,False,True,False,017
67,388,frequent,blue,blue,red,False,True,False,017
68,712,frequent,red,red,blue,False,True,False,017
69,387,frequent,green,green,green,True,True,False,017
70,575,frequent,blue,blue,green,False,True,False,017
71,372,frequent,red,red,blue,False,True,False,017
72,358,frequent,green,green,blue,False,True,False,017
73,340,frequent,blue,blue,red,False,True,False,017
74,528,frequent,green,green,red,False,True,False,017
75,394,frequent,green,green,blue,False,True,False,017
76,372,frequent,green,green,blue,False,True,True,017
77,371,frequent,green,green,blue,False,True,True,017
78,372,frequent,green,green,red,False,True,False,017
79,419,frequent,blue,blue,red,False,True,False,017
80,455,frequent,red,red,green,False,True,False,017
81,982,frequent,blue,blue,red,False,True,False,017
82,418,frequent,red,red,red,True,True,False,017
83,825,frequent,blue,blue,green,False,True,False,017
84,623,frequent,green,green,blue,False,True,False,017
85,573,frequent,red,red,red,True,True,False,017
86,685,frequent,red,red,blue,False,True,False,017
87,403,frequent,red,red,green,False,True,False,017
88,356,frequent,red,red,blue,False,True,False,017
89,842,frequent,blue,blue,green,False,True,False,017
90,420,frequent,green,green,green,True,True,False,017
91,935,frequent,blue,blue,red,False,True,False,017
92,638,frequent,green,green,red,False,True,False,017
93,1005,frequent,blue,blue,green,False,True,False,017
94,421,frequent,blue,blue,blue,True,True,False,017
95,358,frequent,blue,blue,green,False,True,False,017
96,919,frequent,red,red,blue,False,True,False,017
97,827,frequent,red,red,green,False,True,False,017
98,390,frequent,red,red,green,False,True,True,017
99,411,frequent,green,green,red,False,True,False,017
100,466,frequent,blue,blue,blue,True,True,False,017
101,1014,frequent,red,red,green,False,True,False,017
102,403,frequent,green,blue,red,False,False,False,017
103,512,frequent,blue,blue,green,False,True,False,017
104,387,frequent,blue,blue,red,False,True,False,017
105,434,frequent,blue,blue,green,False,True,False,017
106,372,frequent,blue,blue,green,False,True,True,017
107,622,frequent,red,red,blue,False,True,False,017
108,622,frequent,green,blue,red,False,False,False,017
109,591,frequent,green,green,red,False,True,False,017
110,621,frequent,red,red,green,False,True,False,017
111,440,frequent,red,red,green,False,True,True,017
112,346,frequent,red,red,red,True,True,False,017
113,353,frequent,red,red,blue,False,True,False,017
114,358,frequent,blue,blue,green,False,True,False,017
115,639,frequent,green,green,green,True,True,False,017
116,562,frequent,blue,blue,blue,True,True,False,017
117,513,frequent,red,red,blue,False,True,False,017
118,700,frequent,blue,green,green,True,False,False,017
119,1731,frequent,red,red,blue,False,True,False,017
120,418,frequent,red,red,green,False,True,False,017
121,372,frequent,red,red,green,False,True,True,017
122,372,frequent,red,red,blue,False,True,False,017
123,1153,frequent,green,green,blue,False,True,False,017
124,781,frequent,red,red,blue,False,True,False,017
125,509,frequent,red,red,green,False,True,False,017
126,1202,frequent,blue,blue,green,False,True,False,017
127,919,frequent,green,green,green,True,True,False,017
128,529,frequent,green,green,blue,False,True,False,017
129,810,frequent,red,red,red,True,True,False,017
130,387,frequent,red,red,red,True,True,True,017
131,309,frequent,red,red,blue,False,True,False,017
132,323,frequent,red,red,blue,False,True,True,017
133,307,frequent,red,red,blue,False,True,True,017
134,356,frequent,blue,blue,red,False,True,False,017
135,450,frequent,green,green,blue,False,True,False,017
136,481,frequent,green,green,green,True,True,False,017
137,559,frequent,blue,blue,red,False,True,False,017
138,330,frequent,blue,blue,blue,True,True,False,017
139,481,frequent,red,red,red,True,True,False,017
140,638,frequent,blue,blue,blue,True,True,False,017
141,357,frequent,green,green,red,False,True,False,017
142,403,frequent,red,red,green,False,True,False,017
143,450,frequent,red,red,green,False,True,True,017
144,654,infrequent,blue,blue,blue,True,True,False,017
145,670,infrequent,red,red,green,False,True,False,017
146,388,infrequent,red,red,red,True,True,False,017
147,621,infrequent,blue,blue,blue,True,True,False,017
148,482,infrequent,blue,blue,blue,True,True,True,017
149,466,infrequent,green,green,blue,False,True,False,017
150,435,infrequent,green,green,red,False,True,False,017
151,356,infrequent,green,green,green,True,True,False,017
152,622,infrequent,blue,blue,blue,True,True,False,017
153,450,infrequent,red,red,red,True,True,False,017
154,731,infrequent,blue,green,blue,False,False,False,017
155,951,infrequent,red,red,blue,False,True,False,017
156,450,infrequent,red,red,red,True,True,False,017
157,1184,infrequent,blue,blue,blue,True,True,False,017
158,388,infrequent,blue,blue,blue,True,True,True,017
159,451,infrequent,blue,blue,blue,True,True,True,017
160,372,infrequent,blue,blue,blue,True,True,True,017
161,388,infrequent,green,green,green,True,True,False,017
162,497,infrequent,red,red,red,True,True,False,017
163,372,infrequent,red,red,red,True,True,True,017
164,669,infrequent,blue,blue,red,False,True,False,017
165,622,infrequent,green,green,green,True,True,False,017
166,622,infrequent,blue,blue,blue,True,True,False,017
167,482,infrequent,red,red,red,True,True,False,017
168,700,infrequent,blue,green,blue,False,False,False,017
169,1372,infrequent,green,red,red,True,False,False,017
170,573,infrequent,red,red,red,True,True,True,017
171,965,infrequent,green,green,green,True,True,False,017
172,544,infrequent,blue,blue,blue,True,True,False,017
173,529,infrequent,green,green,green,True,True,False,017
174,716,infrequent,blue,blue,red,False,True,False,017
175,733,infrequent,red,red,red,True,True,False,017
176,747,infrequent,green,green,green,True,True,False,017
177,480,infrequent,blue,blue,blue,True,True,False,017
178,424,infrequent,red,red,red,True,True,False,017
179,380,infrequent,red,red,red,True,True,True,017
180,583,infrequent,green,green,green,True,True,False,017
181,404,infrequent,blue,blue,blue,True,True,False,017
182,669,infrequent,green,green,green,True,True,False,017
183,700,infrequent,red,green,red,False,False,False,017
184,625,infrequent,green,green,green,True,True,False,017
185,559,infrequent,red,red,red,True,True,False,017
186,543,infrequent,red,red,red,True,True,True,017
187,325,infrequent,red,red,red,True,True,True,017
188,542,infrequent,blue,blue,blue,True,True,False,017
189,794,infrequent,red,red,blue,False,True,False,017
190,622,infrequent,green,green,green,True,True,False,017
191,744,infrequent,blue,blue,blue,True,True,False,017
192,575,infrequent,green,green,green,True,True,False,017
193,418,infrequent,blue,blue,blue,True,True,False,017
194,497,infrequent,green,green,green,True,True,False,017
195,561,infrequent,green,green,green,True,True,True,017
196,512,infrequent,red,red,red,True,True,False,017
197,387,infrequent,red,red,red,True,True,True,017
198,623,infrequent,red,red,blue,False,True,False,017
199,530,infrequent,green,green,green,True,True,False,017
200,418,infrequent,blue,blue,blue,True,True,False,017
201,518,infrequent,green,green,red,False,True,False,017
202,791,infrequent,blue,blue,red,False,True,False,017
203,434,infrequent,blue,blue,blue,True,True,False,017
204,386,infrequent,red,red,green,False,True,False,017
205,340,infrequent,red,red,red,True,True,False,017
206,622,infrequent,blue,blue,blue,True,True,False,017
207,449,infrequent,blue,blue,green,False,True,False,017
208,417,infrequent,green,green,green,True,True,False,017
209,526,infrequent,red,red,green,False,True,False,017
210,840,infrequent,green,green,green,True,True,False,017
211,541,infrequent,blue,blue,green,False,True,False,017
212,637,infrequent,red,red,red,True,True,False,017
213,1105,infrequent,blue,green,blue,False,False,False,017
214,981,infrequent,blue,blue,red,False,True,False,017
215,542,infrequent,red,red,red,True,True,False,017
216,588,infrequent,green,green,red,False,True,False,017
217,495,infrequent,blue,blue,blue,True,True,False,017
218,338,infrequent,green,green,green,True,True,False,017
219,323,infrequent,green,green,green,True,True,True,017
220,495,infrequent,red,red,red,True,True,False,017
221,416,infrequent,red,red,red,True,True,True,017
222,492,infrequent,red,red,red,True,True,True,017
223,338,infrequent,blue,blue,blue,True,True,False,017
224,432,infrequent,green,green,green,True,True,False,017
225,552,infrequent,blue,blue,blue,True,True,False,017
226,739,infrequent,green,green,green,True,True,False,017
227,388,infrequent,green,green,green,True,True,True,017
228,385,infrequent,red,red,red,True,True,False,017
229,416,infrequent,red,red,red,True,True,True,017
230,697,infrequent,blue,blue,green,False,True,False,017
231,402,infrequent,green,green,green,True,True,False,017
232,401,infrequent,blue,blue,blue,True,True,False,017
233,497,infrequent,red,red,red,True,True,False,017
234,592,infrequent,blue,green,green,True,False,False,017
235,386,infrequent,blue,green,green,True,False,True,017
236,1058,infrequent,green,blue,blue,True,False,False,017
237,1089,infrequent,green,green,green,True,True,False,017
238,385,infrequent,green,green,green,True,True,True,017
239,384,infrequent,blue,blue,blue,True,True,False,017
240,511,infrequent,red,red,red,True,True,False,017
241,388,infrequent,red,red,green,False,True,False,017
