type,trial,FB,fs_RT,fs_choice,fs_stims,id,ss_RT,ss_choice,ss_stims,transition
practice,0.0,1,1240,0,"(1, 0)",006,1332.0,2,"(2, 3)",common
practice,1.0,0,964,1,"(1, 0)",006,877.0,4,"(5, 4)",common
practice,2.0,0,1102,1,"(1, 0)",006,731.0,5,"(4, 5)",common
practice,3.0,1,406,1,"(1, 0)",006,880.0,3,"(3, 2)",rare
practice,4.0,0,567,0,"(1, 0)",006,1045.0,2,"(2, 3)",common
practice,5.0,0,316,1,"(0, 1)",006,300.0,3,"(2, 3)",rare
practice,6.0,1,378,0,"(0, 1)",006,40.0,3,"(3, 2)",common
practice,7.0,0,307,0,"(0, 1)",006,41.0,5,"(4, 5)",rare
practice,8.0,1,330,1,"(0, 1)",006,1193.0,5,"(5, 4)",common
practice,9.0,-1,392,0,"(0, 1)",006,,-1,"(2, 3)",common
task,0.0,1,1179,1,"(1, 0)",006,1009.0,5,"(4, 5)",common
task,1.0,1,851,0,"(0, 1)",006,1018.0,4,"(4, 5)",rare
task,2.0,1,526,1,"(0, 1)",006,630.0,5,"(4, 5)",common
task,3.0,1,340,0,"(1, 0)",006,840.0,3,"(2, 3)",common
task,4.0,1,520,0,"(1, 0)",006,438.0,3,"(3, 2)",common
task,5.0,0,474,1,"(0, 1)",006,618.0,3,"(2, 3)",rare
task,6.0,0,316,0,"(0, 1)",006,424.0,2,"(2, 3)",common
task,7.0,1,16,0,"(0, 1)",006,589.0,2,"(3, 2)",common
task,8.0,0,367,1,"(1, 0)",006,791.0,2,"(2, 3)",rare
task,9.0,0,283,1,"(1, 0)",006,390.0,4,"(4, 5)",common
task,10.0,1,339,0,"(0, 1)",006,456.0,5,"(4, 5)",rare
task,11.0,1,264,0,"(1, 0)",006,80.0,2,"(2, 3)",common
task,12.0,0,753,1,"(0, 1)",006,743.0,5,"(4, 5)",common
task,13.0,0,440,0,"(1, 0)",006,838.0,3,"(3, 2)",common
task,14.0,1,292,0,"(1, 0)",006,574.0,5,"(5, 4)",rare
task,15.0,1,424,0,"(0, 1)",006,285.0,3,"(2, 3)",common
task,16.0,1,433,1,"(1, 0)",006,953.0,5,"(4, 5)",common
task,17.0,0,379,1,"(0, 1)",006,462.0,4,"(4, 5)",common
task,18.0,1,364,0,"(0, 1)",006,551.0,5,"(5, 4)",rare
task,19.0,0,318,0,"(1, 0)",006,600.0,2,"(3, 2)",common
task,20.0,1,330,1,"(0, 1)",006,627.0,5,"(4, 5)",common
task,21.0,1,361,1,"(0, 1)",006,614.0,5,"(5, 4)",common
