trial,rt,type,color_choice,word_color,word_text,congruent,correct,repeat_stim,id
0,7026,practice,red,red,green,False,True,False,011
1,4248,practice,green,green,red,False,True,False,011
2,4917,practice,red,red,blue,False,True,False,011
3,2338,practice,blue,blue,blue,True,True,False,011
4,2384,practice,green,green,green,True,True,False,011
5,1841,practice,red,red,green,False,True,False,011
6,1135,practice,red,red,blue,False,True,False,011
7,1212,practice,green,green,green,True,True,False,011
8,1653,practice,green,green,red,False,True,False,011
9,1323,practice,red,red,red,True,True,False,011
10,995,practice,red,red,red,True,True,True,011
11,887,practice,green,green,green,True,True,False,011
12,931,practice,red,red,red,True,True,False,011
13,1890,practice,blue,blue,red,False,True,False,011
14,1197,practice,blue,blue,blue,True,True,False,011
15,717,practice,blue,blue,blue,True,True,True,011
16,1278,practice,green,green,blue,False,True,False,011
17,1481,practice,blue,blue,red,False,True,False,011
18,1277,practice,blue,blue,green,False,True,False,011
19,1010,practice,red,red,red,True,True,False,011
20,1011,practice,blue,blue,blue,True,True,False,011
21,1479,practice,green,green,blue,False,True,False,011
22,856,practice,green,green,green,True,True,False,011
23,2092,practice,blue,blue,green,False,True,False,011
24,1368,infrequent,blue,blue,blue,True,True,False,011
25,793,infrequent,blue,blue,blue,True,True,True,011
26,871,infrequent,red,red,red,True,True,False,011
27,605,infrequent,red,red,red,True,True,True,011
28,802,infrequent,blue,blue,blue,True,True,False,011
29,856,infrequent,red,red,red,True,True,False,011
30,918,infrequent,blue,blue,blue,True,True,False,011
31,778,infrequent,red,red,red,True,True,False,011
32,793,infrequent,blue,blue,blue,True,True,False,011
33,871,infrequent,blue,blue,blue,True,True,True,011
34,807,infrequent,green,green,green,True,True,False,011
35,1196,infrequent,green,green,blue,False,True,False,011
36,826,infrequent,red,red,red,True,True,False,011
37,1170,infrequent,green,green,red,False,True,False,011
38,981,infrequent,red,red,red,True,True,False,011
39,870,infrequent,blue,blue,blue,True,True,False,011
40,774,infrequent,green,green,green,True,True,False,011
41,1153,infrequent,blue,blue,blue,True,True,False,011
42,801,infrequent,blue,blue,blue,True,True,True,011
43,1403,infrequent,blue,blue,green,False,True,False,011
44,795,infrequent,red,red,red,True,True,False,011
45,1091,infrequent,red,red,green,False,True,False,011
46,1247,infrequent,blue,blue,red,False,True,False,011
47,1153,infrequent,green,green,green,True,True,False,011
48,946,infrequent,red,red,red,True,True,False,011
49,1527,infrequent,red,red,blue,False,True,False,011
50,746,infrequent,red,red,blue,False,True,True,011
51,839,infrequent,green,green,green,True,True,False,011
52,714,infrequent,green,green,green,True,True,True,011
53,762,infrequent,green,green,green,True,True,True,011
54,872,infrequent,blue,blue,blue,True,True,False,011
55,840,infrequent,green,green,green,True,True,False,011
56,763,infrequent,red,red,red,True,True,False,011
57,745,infrequent,red,red,red,True,True,True,011
58,825,infrequent,green,green,green,True,True,False,011
59,762,infrequent,green,green,green,True,True,True,011
60,861,infrequent,red,red,red,True,True,False,011
61,669,infrequent,red,red,red,True,True,True,011
62,682,infrequent,green,green,green,True,True,False,011
63,741,infrequent,blue,blue,blue,True,True,False,011
64,651,infrequent,blue,blue,blue,True,True,True,011
65,668,infrequent,blue,blue,blue,True,True,True,011
66,658,infrequent,blue,blue,blue,True,True,True,011
67,997,infrequent,red,red,green,False,True,False,011
68,777,infrequent,blue,blue,blue,True,True,False,011
69,1075,infrequent,green,green,red,False,True,False,011
70,810,infrequent,blue,blue,blue,True,True,False,011
71,1198,infrequent,blue,blue,green,False,True,False,011
72,871,infrequent,red,red,red,True,True,False,011
73,871,infrequent,green,green,green,True,True,False,011
74,1372,infrequent,blue,blue,green,False,True,False,011
75,887,infrequent,blue,blue,red,False,True,False,011
76,825,infrequent,blue,blue,blue,True,True,False,011
77,761,infrequent,green,green,green,True,True,False,011
78,616,infrequent,green,green,green,True,True,True,011
79,804,infrequent,blue,blue,blue,True,True,False,011
80,793,infrequent,red,red,red,True,True,False,011
81,827,infrequent,blue,blue,blue,True,True,False,011
82,731,infrequent,green,green,green,True,True,False,011
83,698,infrequent,green,green,green,True,True,True,011
84,670,infrequent,green,green,green,True,True,True,011
85,684,infrequent,green,green,green,True,True,True,011
86,623,infrequent,green,green,green,True,True,True,011
87,762,infrequent,blue,blue,blue,True,True,False,011
88,778,infrequent,red,red,red,True,True,False,011
89,714,infrequent,green,green,green,True,True,False,011
90,668,infrequent,green,green,green,True,True,True,011
91,764,infrequent,blue,blue,blue,True,True,False,011
92,714,infrequent,red,red,red,True,True,False,011
93,590,infrequent,red,red,red,True,True,True,011
94,1152,infrequent,blue,blue,green,False,True,False,011
95,809,infrequent,red,red,red,True,True,False,011
96,1170,infrequent,blue,blue,blue,True,True,False,011
97,824,infrequent,red,red,red,True,True,False,011
98,888,infrequent,red,red,red,True,True,True,011
99,639,infrequent,red,red,red,True,True,True,011
100,730,infrequent,green,green,green,True,True,False,011
101,857,infrequent,red,red,red,True,True,False,011
102,1107,infrequent,red,red,green,False,True,False,011
103,842,infrequent,blue,blue,blue,True,True,False,011
104,1168,infrequent,green,green,blue,False,True,False,011
105,845,infrequent,green,green,green,True,True,False,011
106,918,infrequent,red,red,red,True,True,False,011
107,824,infrequent,blue,blue,blue,True,True,False,011
108,626,infrequent,green,green,green,True,True,False,011
109,1433,infrequent,red,red,red,True,True,False,011
110,793,infrequent,blue,blue,blue,True,True,False,011
111,652,infrequent,green,green,green,True,True,False,011
112,1246,infrequent,red,red,green,False,True,False,011
113,965,infrequent,green,green,green,True,True,False,011
114,871,infrequent,red,red,red,True,True,False,011
115,818,infrequent,blue,blue,blue,True,True,False,011
116,823,infrequent,green,green,green,True,True,False,011
117,1076,infrequent,red,red,blue,False,True,False,011
118,904,infrequent,blue,blue,blue,True,True,False,011
119,1293,infrequent,green,green,blue,False,True,False,011
120,759,infrequent,red,red,red,True,True,False,011
121,1212,infrequent,blue,blue,red,False,True,False,011
122,700,infrequent,red,red,red,True,True,False,011
123,700,infrequent,green,green,green,True,True,False,011
124,824,infrequent,green,green,green,True,True,True,011
125,689,infrequent,green,green,green,True,True,True,011
126,620,infrequent,green,green,green,True,True,True,011
127,1605,infrequent,green,green,red,False,True,False,011
128,1217,infrequent,red,red,blue,False,True,False,011
129,951,infrequent,red,red,red,True,True,False,011
130,637,infrequent,red,red,red,True,True,True,011
131,779,infrequent,blue,blue,blue,True,True,False,011
132,527,infrequent,blue,blue,blue,True,True,True,011
133,667,infrequent,blue,blue,blue,True,True,True,011
134,1294,infrequent,green,green,red,False,True,False,011
135,838,infrequent,blue,blue,blue,True,True,False,011
136,1540,infrequent,blue,blue,blue,True,True,True,011
137,871,infrequent,green,green,green,True,True,False,011
138,793,infrequent,red,red,red,True,True,False,011
139,685,infrequent,red,red,red,True,True,True,011
140,698,infrequent,red,red,red,True,True,True,011
141,1106,infrequent,green,green,blue,False,True,False,011
142,761,infrequent,green,green,green,True,True,False,011
143,1438,infrequent,blue,blue,red,False,True,False,011
144,2433,frequent,blue,blue,red,False,True,True,011
145,1136,frequent,green,blue,green,False,False,False,011
146,793,frequent,blue,blue,blue,True,True,False,011
147,918,frequent,blue,blue,green,False,True,False,011
148,1042,frequent,blue,blue,red,False,True,False,011
149,1043,frequent,blue,blue,green,False,True,False,011
150,1167,frequent,green,green,red,False,True,False,011
151,918,frequent,green,green,red,False,True,True,011
152,811,frequent,green,green,blue,False,True,False,011
153,1246,frequent,red,red,blue,False,True,False,011
154,1075,frequent,green,green,red,False,True,False,011
155,1214,frequent,blue,blue,blue,True,True,False,011
156,904,frequent,red,red,red,True,True,False,011
157,1434,frequent,green,green,green,True,True,False,011
158,841,frequent,red,red,red,True,True,False,011
159,902,frequent,blue,blue,blue,True,True,False,011
160,857,frequent,blue,blue,green,False,True,False,011
161,1011,frequent,red,red,green,False,True,False,011
162,1293,frequent,green,green,blue,False,True,False,011
163,1200,frequent,red,red,blue,False,True,False,011
164,916,frequent,red,red,green,False,True,False,011
165,2135,frequent,green,green,red,False,True,False,011
166,1136,frequent,red,red,green,False,True,False,011
167,808,frequent,green,green,green,True,True,False,011
168,901,frequent,green,green,blue,False,True,False,011
169,1349,frequent,blue,blue,green,False,True,False,011
170,888,frequent,red,red,blue,False,True,False,011
171,714,frequent,red,red,red,True,True,False,011
172,1093,frequent,blue,blue,red,False,True,False,011
173,714,frequent,blue,blue,red,False,True,True,011
174,890,frequent,red,red,red,True,True,False,011
175,669,frequent,red,red,red,True,True,True,011
176,995,frequent,blue,blue,red,False,True,False,011
177,1118,frequent,green,green,red,False,True,False,011
178,684,frequent,green,green,red,False,True,True,011
179,761,frequent,green,green,red,False,True,True,011
180,683,frequent,green,green,red,False,True,True,011
181,809,frequent,blue,blue,blue,True,True,False,011
182,869,frequent,blue,blue,red,False,True,False,011
183,768,frequent,blue,blue,red,False,True,True,011
184,1215,frequent,red,red,blue,False,True,False,011
185,841,frequent,red,red,green,False,True,False,011
186,1152,frequent,green,green,red,False,True,False,011
187,873,frequent,red,blue,red,False,False,False,011
188,887,frequent,green,green,red,False,True,False,011
189,1295,frequent,green,green,blue,False,True,False,011
190,1263,frequent,blue,blue,red,False,True,False,011
191,1201,frequent,red,red,green,False,True,False,011
192,853,frequent,red,red,blue,False,True,False,011
193,668,frequent,red,red,blue,False,True,True,011
194,747,frequent,red,red,red,True,True,False,011
195,964,frequent,blue,blue,red,False,True,False,011
