type,trial,FB,fs_RT,fs_choice,fs_stims,id,ss_RT,ss_choice,ss_stims,transition
practice,0.0,-1,,-1,"(0, 1)",020,-1.0,-1,-1,
practice,1.0,0,777.0,0,"(1, 0)",020,1602.0,2,"(3, 2)",common
practice,2.0,1,548.0,1,"(1, 0)",020,1085.0,5,"(5, 4)",common
practice,3.0,-1,925.0,1,"(1, 0)",020,,-1,"(5, 4)",common
practice,4.0,1,1163.0,0,"(0, 1)",020,1110.0,3,"(2, 3)",common
practice,5.0,1,1174.0,1,"(0, 1)",020,997.0,4,"(5, 4)",common
practice,6.0,1,1161.0,1,"(1, 0)",020,1636.0,4,"(4, 5)",common
practice,7.0,1,885.0,1,"(0, 1)",020,1313.0,3,"(2, 3)",rare
practice,8.0,1,1626.0,1,"(1, 0)",020,1566.0,4,"(4, 5)",common
practice,9.0,0,1153.0,1,"(0, 1)",020,1093.0,4,"(4, 5)",common
task,0.0,1,986.0,0,"(1, 0)",020,1131.0,2,"(2, 3)",common
task,1.0,1,1405.0,0,"(1, 0)",020,1337.0,3,"(3, 2)",common
task,2.0,0,1526.0,0,"(0, 1)",020,993.0,2,"(3, 2)",common
task,3.0,1,997.0,0,"(0, 1)",020,1493.0,4,"(4, 5)",rare
task,4.0,1,1091.0,0,"(0, 1)",020,919.0,4,"(4, 5)",rare
task,5.0,1,1405.0,0,"(0, 1)",020,1129.0,3,"(3, 2)",common
task,6.0,1,991.0,0,"(0, 1)",020,1122.0,3,"(2, 3)",common
task,7.0,1,1071.0,0,"(0, 1)",020,925.0,3,"(3, 2)",common
task,8.0,-1,1068.0,0,"(0, 1)",020,,-1,"(4, 5)",rare
task,9.0,1,985.0,0,"(1, 0)",020,647.0,4,"(4, 5)",rare
task,10.0,1,566.0,0,"(0, 1)",020,1177.0,4,"(5, 4)",rare
task,11.0,1,680.0,0,"(0, 1)",020,795.0,3,"(2, 3)",common
task,12.0,0,739.0,0,"(1, 0)",020,1236.0,4,"(4, 5)",rare
task,13.0,1,806.0,0,"(0, 1)",020,610.0,5,"(4, 5)",rare
task,14.0,1,753.0,0,"(1, 0)",020,1017.0,3,"(3, 2)",common
task,15.0,0,959.0,0,"(0, 1)",020,795.0,3,"(3, 2)",common
task,16.0,1,636.0,0,"(0, 1)",020,1574.0,2,"(2, 3)",common
task,17.0,1,831.0,0,"(1, 0)",020,720.0,5,"(4, 5)",rare
task,18.0,1,656.0,0,"(0, 1)",020,709.0,5,"(4, 5)",rare
task,19.0,1,858.0,0,"(1, 0)",020,1061.0,2,"(3, 2)",common
task,20.0,1,817.0,0,"(0, 1)",020,1159.0,5,"(5, 4)",rare
task,21.0,1,653.0,0,"(1, 0)",020,631.0,2,"(3, 2)",common
task,22.0,0,715.0,0,"(0, 1)",020,1215.0,2,"(2, 3)",common
task,23.0,1,916.0,1,"(0, 1)",020,1593.0,5,"(5, 4)",common
task,24.0,0,694.0,0,"(1, 0)",020,828.0,5,"(5, 4)",rare
task,25.0,1,740.0,1,"(1, 0)",020,1348.0,5,"(5, 4)",common
task,26.0,1,540.0,1,"(0, 1)",020,794.0,2,"(2, 3)",rare
task,27.0,1,725.0,1,"(0, 1)",020,1006.0,2,"(3, 2)",rare
task,28.0,1,608.0,1,"(0, 1)",020,1253.0,2,"(2, 3)",rare
task,29.0,1,1378.0,1,"(1, 0)",020,973.0,5,"(4, 5)",common
task,30.0,1,763.0,1,"(1, 0)",020,1535.0,5,"(5, 4)",common
task,31.0,0,609.0,1,"(0, 1)",020,924.0,5,"(4, 5)",common
task,32.0,1,829.0,1,"(1, 0)",020,886.0,4,"(4, 5)",common
task,33.0,0,694.0,1,"(1, 0)",020,1120.0,4,"(5, 4)",common
task,34.0,1,884.0,1,"(0, 1)",020,728.0,4,"(4, 5)",common
task,35.0,1,1352.0,1,"(1, 0)",020,989.0,4,"(5, 4)",common
task,36.0,-1,,-1,"(0, 1)",020,-1.0,-1,"(-1, -1)",
task,37.0,0,418.0,1,"(0, 1)",020,772.0,4,"(5, 4)",common
task,38.0,-1,658.0,1,"(1, 0)",020,,-1,"(4, 5)",common
task,39.0,1,1143.0,1,"(1, 0)",020,447.0,5,"(4, 5)",common
