trial,rt,type,color_choice,word_color,word_text,congruent,correct,repeat_stim,id
0,798,practice,blue,blue,blue,True,True,False,004
1,664,practice,red,red,red,True,True,False,004
2,953,practice,green,green,red,False,True,False,004
3,1157,practice,blue,blue,green,False,True,False,004
4,803,practice,red,red,blue,False,True,False,004
5,1133,practice,blue,blue,red,False,True,False,004
6,703,practice,green,green,green,True,True,False,004
7,1173,practice,red,red,green,False,True,False,004
8,955,practice,blue,blue,blue,True,True,False,004
9,731,practice,red,red,red,True,True,False,004
10,723,practice,red,red,green,False,True,False,004
11,901,practice,green,green,blue,False,True,False,004
12,1034,practice,blue,blue,green,False,True,False,004
13,720,practice,blue,blue,blue,True,True,False,004
14,1108,practice,green,green,red,False,True,False,004
15,1027,practice,blue,blue,red,False,True,False,004
16,683,practice,green,green,green,True,True,False,004
17,731,practice,red,red,blue,False,True,False,004
18,566,practice,red,red,red,True,True,False,004
19,755,practice,green,green,green,True,True,False,004
20,679,practice,blue,blue,blue,True,True,False,004
21,556,practice,red,red,red,True,True,False,004
22,800,practice,green,green,green,True,True,False,004
23,864,practice,blue,green,blue,False,False,False,004
24,712,infrequent,green,green,green,True,True,False,004
25,707,infrequent,red,red,red,True,True,False,004
26,828,infrequent,green,green,green,True,True,False,004
27,733,infrequent,green,green,green,True,True,True,004
28,1043,infrequent,blue,blue,blue,True,True,False,004
29,696,infrequent,blue,blue,blue,True,True,True,004
30,730,infrequent,green,green,green,True,True,False,004
31,1372,infrequent,blue,blue,red,False,True,False,004
32,749,infrequent,green,green,green,True,True,False,004
33,640,infrequent,red,red,green,False,True,False,004
34,1282,infrequent,blue,blue,green,False,True,False,004
35,735,infrequent,red,red,red,True,True,False,004
36,625,infrequent,red,red,red,True,True,True,004
37,686,infrequent,red,red,red,True,True,True,004
38,931,infrequent,green,green,green,True,True,False,004
39,820,infrequent,blue,blue,blue,True,True,False,004
40,1118,infrequent,green,green,green,True,True,False,004
41,740,infrequent,green,green,green,True,True,True,004
42,925,infrequent,blue,blue,blue,True,True,False,004
43,536,infrequent,red,red,red,True,True,False,004
44,547,infrequent,red,red,red,True,True,True,004
45,781,infrequent,green,green,green,True,True,False,004
46,585,infrequent,red,red,red,True,True,False,004
47,718,infrequent,blue,blue,blue,True,True,False,004
48,1136,infrequent,red,red,blue,False,True,False,004
49,748,infrequent,red,red,green,False,True,False,004
50,1153,infrequent,blue,blue,blue,True,True,False,004
51,912,infrequent,red,red,blue,False,True,False,004
52,872,infrequent,blue,blue,blue,True,True,False,004
53,653,infrequent,red,red,red,True,True,False,004
54,742,infrequent,red,red,blue,False,True,False,004
55,563,infrequent,red,red,red,True,True,False,004
56,775,infrequent,blue,blue,blue,True,True,False,004
57,1342,infrequent,green,green,blue,False,True,False,004
58,883,infrequent,blue,blue,blue,True,True,False,004
59,776,infrequent,blue,blue,blue,True,True,True,004
60,797,infrequent,green,green,green,True,True,False,004
61,585,infrequent,red,red,red,True,True,False,004
62,1118,infrequent,blue,green,green,True,False,False,004
63,957,infrequent,red,red,red,True,True,False,004
64,666,infrequent,red,red,red,True,True,True,004
65,521,infrequent,red,red,red,True,True,True,004
66,1014,infrequent,green,green,green,True,True,False,004
67,860,infrequent,red,red,red,True,True,False,004
68,686,infrequent,red,red,red,True,True,True,004
69,579,infrequent,red,red,red,True,True,True,004
70,748,infrequent,blue,blue,blue,True,True,False,004
71,786,infrequent,blue,blue,blue,True,True,True,004
72,780,infrequent,red,red,red,True,True,False,004
73,635,infrequent,green,green,green,True,True,False,004
74,961,infrequent,red,red,blue,False,True,False,004
75,846,infrequent,green,green,green,True,True,False,004
76,771,infrequent,blue,blue,blue,True,True,False,004
77,1289,infrequent,green,green,green,True,True,False,004
78,767,infrequent,green,green,blue,False,True,False,004
79,576,infrequent,green,green,green,True,True,False,004
80,608,infrequent,red,red,red,True,True,False,004
81,1275,infrequent,green,green,red,False,True,False,004
82,704,infrequent,green,green,green,True,True,False,004
83,652,infrequent,green,green,green,True,True,True,004
84,585,infrequent,green,green,green,True,True,True,004
85,1045,infrequent,blue,blue,blue,True,True,False,004
86,578,infrequent,blue,blue,green,False,True,False,004
87,668,infrequent,blue,blue,red,False,True,False,004
88,710,infrequent,red,red,red,True,True,False,004
89,583,infrequent,red,red,red,True,True,True,004
90,966,infrequent,blue,blue,blue,True,True,False,004
91,915,infrequent,red,red,green,False,True,False,004
92,785,infrequent,green,green,green,True,True,False,004
93,758,infrequent,red,red,red,True,True,False,004
94,786,infrequent,blue,blue,blue,True,True,False,004
95,781,infrequent,red,red,red,True,True,False,004
