type,trial,FB,fs_RT,fs_choice,fs_stims,id,ss_RT,ss_choice,ss_stims,transition
practice,0.0,-1,,-1,"(0, 1)",019,-1.0,-1,-1,
practice,1.0,-1,,-1,"(0, 1)",019,-1.0,-1,-1,
practice,2.0,1,377.0,0,"(0, 1)",019,1460.0,3,"(3, 2)",common
practice,3.0,0,1053.0,0,"(1, 0)",019,767.0,3,"(2, 3)",common
practice,4.0,0,1720.0,1,"(1, 0)",019,672.0,4,"(5, 4)",common
practice,5.0,0,980.0,1,"(1, 0)",019,1589.0,2,"(3, 2)",rare
practice,6.0,1,988.0,0,"(0, 1)",019,638.0,4,"(4, 5)",rare
practice,7.0,1,501.0,0,"(0, 1)",019,895.0,3,"(3, 2)",common
practice,8.0,0,786.0,1,"(1, 0)",019,504.0,2,"(3, 2)",rare
practice,9.0,1,1044.0,0,"(1, 0)",019,936.0,5,"(5, 4)",rare
task,0.0,1,1223.0,0,"(0, 1)",019,860.0,3,"(2, 3)",common
task,1.0,1,652.0,1,"(0, 1)",019,738.0,5,"(5, 4)",common
task,2.0,1,528.0,1,"(0, 1)",019,938.0,5,"(5, 4)",common
task,3.0,0,511.0,0,"(0, 1)",019,850.0,2,"(3, 2)",common
task,4.0,1,597.0,0,"(1, 0)",019,1035.0,3,"(2, 3)",common
task,5.0,1,546.0,0,"(0, 1)",019,876.0,4,"(4, 5)",rare
task,6.0,0,471.0,1,"(0, 1)",019,579.0,2,"(3, 2)",rare
task,7.0,1,539.0,1,"(1, 0)",019,630.0,3,"(2, 3)",rare
task,8.0,0,422.0,0,"(1, 0)",019,784.0,3,"(3, 2)",common
task,9.0,0,524.0,0,"(1, 0)",019,604.0,5,"(5, 4)",rare
task,10.0,0,377.0,0,"(0, 1)",019,555.0,2,"(2, 3)",common
task,11.0,1,489.0,0,"(0, 1)",019,907.0,3,"(3, 2)",common
task,12.0,1,614.0,1,"(0, 1)",019,908.0,4,"(4, 5)",common
task,13.0,0,465.0,0,"(0, 1)",019,800.0,5,"(5, 4)",rare
task,14.0,0,493.0,0,"(0, 1)",019,783.0,3,"(3, 2)",common
task,15.0,0,460.0,1,"(1, 0)",019,625.0,3,"(2, 3)",rare
task,16.0,1,528.0,1,"(0, 1)",019,679.0,4,"(5, 4)",common
task,17.0,1,449.0,0,"(1, 0)",019,533.0,2,"(3, 2)",common
task,18.0,0,378.0,1,"(1, 0)",019,429.0,3,"(3, 2)",rare
task,19.0,1,300.0,1,"(1, 0)",019,674.0,5,"(5, 4)",common
task,20.0,1,459.0,0,"(0, 1)",019,785.0,4,"(4, 5)",rare
task,21.0,1,475.0,0,"(0, 1)",019,721.0,3,"(2, 3)",common
task,22.0,1,645.0,0,"(1, 0)",019,538.0,4,"(4, 5)",rare
task,23.0,1,1246.0,1,"(0, 1)",019,710.0,3,"(3, 2)",rare
task,24.0,1,1050.0,0,"(1, 0)",019,481.0,3,"(2, 3)",common
task,25.0,0,573.0,0,"(1, 0)",019,450.0,3,"(3, 2)",common
task,26.0,0,794.0,0,"(0, 1)",019,371.0,2,"(3, 2)",common
task,27.0,1,653.0,0,"(1, 0)",019,427.0,3,"(3, 2)",common
task,28.0,1,567.0,0,"(0, 1)",019,404.0,4,"(5, 4)",rare
task,29.0,1,649.0,0,"(1, 0)",019,471.0,4,"(4, 5)",rare
task,30.0,1,499.0,1,"(1, 0)",019,539.0,5,"(5, 4)",common
task,31.0,1,485.0,0,"(0, 1)",019,502.0,3,"(2, 3)",common
task,32.0,1,518.0,1,"(0, 1)",019,465.0,5,"(4, 5)",common
task,33.0,0,618.0,1,"(1, 0)",019,340.0,4,"(4, 5)",common
task,34.0,1,450.0,0,"(0, 1)",019,581.0,4,"(4, 5)",rare
task,35.0,1,466.0,0,"(0, 1)",019,485.0,2,"(3, 2)",common
