type,trial,FB,fs_RT,fs_choice,fs_stims,id,ss_RT,ss_choice,ss_stims,transition
practice,0.0,1,1622.0,1,"(0, 1)",012,862,2,"(3, 2)",rare
practice,1.0,1,853.0,0,"(1, 0)",012,702,3,"(2, 3)",common
practice,2.0,0,645.0,0,"(1, 0)",012,534,4,"(5, 4)",rare
practice,3.0,0,707.0,1,"(0, 1)",012,493,5,"(5, 4)",common
practice,4.0,1,674.0,0,"(1, 0)",012,558,4,"(5, 4)",rare
practice,5.0,1,834.0,0,"(1, 0)",012,509,2,"(3, 2)",common
practice,6.0,0,649.0,1,"(0, 1)",012,445,5,"(4, 5)",common
practice,7.0,1,874.0,1,"(0, 1)",012,511,4,"(5, 4)",common
practice,8.0,0,768.0,1,"(0, 1)",012,526,4,"(5, 4)",common
practice,9.0,1,584.0,0,"(1, 0)",012,507,2,"(3, 2)",common
task,0.0,1,783.0,0,"(1, 0)",012,599,3,"(2, 3)",common
task,1.0,1,628.0,1,"(0, 1)",012,459,5,"(4, 5)",common
task,2.0,1,702.0,1,"(0, 1)",012,482,5,"(4, 5)",common
task,3.0,0,476.0,1,"(0, 1)",012,502,5,"(4, 5)",common
task,4.0,0,506.0,1,"(0, 1)",012,405,4,"(5, 4)",common
task,5.0,1,459.0,1,"(1, 0)",012,452,2,"(2, 3)",rare
task,6.0,1,523.0,0,"(0, 1)",012,515,2,"(2, 3)",common
task,7.0,0,1110.0,0,"(1, 0)",012,472,5,"(4, 5)",rare
task,8.0,1,691.0,0,"(0, 1)",012,483,2,"(2, 3)",common
task,9.0,1,930.0,0,"(0, 1)",012,381,3,"(3, 2)",common
task,10.0,1,541.0,0,"(0, 1)",012,465,5,"(5, 4)",rare
task,11.0,0,512.0,0,"(0, 1)",012,399,3,"(3, 2)",common
task,12.0,0,520.0,1,"(0, 1)",012,401,2,"(3, 2)",rare
task,13.0,0,453.0,0,"(0, 1)",012,402,3,"(3, 2)",common
task,14.0,1,427.0,1,"(1, 0)",012,388,5,"(4, 5)",common
task,15.0,0,479.0,0,"(0, 1)",012,407,3,"(2, 3)",common
task,16.0,1,410.0,1,"(1, 0)",012,337,4,"(4, 5)",common
task,17.0,1,611.0,0,"(0, 1)",012,620,4,"(5, 4)",rare
task,18.0,1,748.0,1,"(1, 0)",012,717,4,"(4, 5)",common
task,19.0,1,553.0,0,"(0, 1)",012,614,4,"(4, 5)",rare
task,20.0,1,685.0,1,"(1, 0)",012,1174,2,"(3, 2)",rare
task,21.0,1,563.0,0,"(0, 1)",012,1514,3,"(2, 3)",common
task,22.0,0,588.0,0,"(0, 1)",012,652,3,"(2, 3)",common
task,23.0,0,480.0,0,"(1, 0)",012,852,4,"(5, 4)",rare
