type,trial,FB,fs_RT,fs_choice,fs_stims,id,ss_RT,ss_choice,ss_stims,transition
practice,0.0,1,469.0,1,"(1, 0)",014,794.0,5,"(4, 5)",common
practice,1.0,0,573.0,1,"(1, 0)",014,524.0,5,"(5, 4)",common
practice,2.0,0,613.0,1,"(1, 0)",014,877.0,4,"(5, 4)",common
practice,3.0,1,734.0,1,"(0, 1)",014,888.0,2,"(3, 2)",rare
practice,4.0,1,945.0,0,"(0, 1)",014,762.0,4,"(4, 5)",rare
practice,5.0,1,441.0,0,"(0, 1)",014,1200.0,3,"(3, 2)",common
practice,6.0,1,615.0,0,"(0, 1)",014,1392.0,5,"(5, 4)",rare
practice,7.0,1,365.0,0,"(0, 1)",014,880.0,5,"(4, 5)",rare
practice,8.0,1,662.0,1,"(1, 0)",014,876.0,4,"(4, 5)",common
practice,9.0,1,680.0,1,"(1, 0)",014,774.0,2,"(2, 3)",rare
task,0.0,1,778.0,1,"(0, 1)",014,1553.0,2,"(3, 2)",rare
task,1.0,1,842.0,1,"(1, 0)",014,1188.0,2,"(2, 3)",rare
task,2.0,1,794.0,1,"(1, 0)",014,1170.0,2,"(2, 3)",rare
task,3.0,-1,690.0,1,"(0, 1)",014,,-1,"(4, 5)",common
task,4.0,0,875.0,1,"(1, 0)",014,437.0,4,"(4, 5)",common
task,5.0,1,643.0,1,"(1, 0)",014,699.0,2,"(3, 2)",rare
task,6.0,0,977.0,1,"(1, 0)",014,679.0,5,"(5, 4)",common
task,7.0,1,504.0,1,"(0, 1)",014,725.0,4,"(5, 4)",common
task,8.0,1,452.0,1,"(0, 1)",014,660.0,2,"(2, 3)",rare
task,9.0,1,870.0,1,"(1, 0)",014,783.0,2,"(3, 2)",rare
task,10.0,0,416.0,1,"(1, 0)",014,654.0,5,"(4, 5)",common
task,11.0,1,511.0,1,"(0, 1)",014,677.0,2,"(3, 2)",rare
task,12.0,0,714.0,1,"(0, 1)",014,504.0,4,"(5, 4)",common
task,13.0,0,591.0,1,"(1, 0)",014,1054.0,5,"(5, 4)",common
task,14.0,0,451.0,1,"(1, 0)",014,910.0,5,"(4, 5)",common
task,15.0,0,917.0,0,"(1, 0)",014,624.0,5,"(4, 5)",rare
task,16.0,0,424.0,0,"(1, 0)",014,510.0,5,"(5, 4)",rare
task,17.0,1,664.0,0,"(0, 1)",014,722.0,2,"(2, 3)",common
task,18.0,0,818.0,0,"(1, 0)",014,842.0,2,"(2, 3)",common
task,19.0,1,447.0,0,"(1, 0)",014,847.0,2,"(2, 3)",common
task,20.0,1,1054.0,1,"(0, 1)",014,961.0,4,"(4, 5)",common
task,21.0,0,590.0,1,"(1, 0)",014,918.0,4,"(4, 5)",common
task,22.0,0,493.0,0,"(0, 1)",014,713.0,2,"(3, 2)",common
task,23.0,1,609.0,1,"(1, 0)",014,644.0,2,"(2, 3)",rare
task,24.0,0,617.0,1,"(1, 0)",014,986.0,4,"(4, 5)",common
task,25.0,1,769.0,0,"(1, 0)",014,892.0,4,"(4, 5)",rare
task,26.0,0,671.0,0,"(0, 1)",014,947.0,3,"(2, 3)",common
task,27.0,0,875.0,0,"(0, 1)",014,532.0,2,"(2, 3)",common
task,28.0,0,376.0,1,"(1, 0)",014,853.0,3,"(3, 2)",rare
task,29.0,0,270.0,1,"(0, 1)",014,683.0,5,"(5, 4)",common
task,30.0,1,599.0,1,"(1, 0)",014,594.0,5,"(4, 5)",common
task,31.0,1,486.0,0,"(0, 1)",014,751.0,2,"(3, 2)",common
task,32.0,1,611.0,0,"(0, 1)",014,503.0,2,"(3, 2)",common
task,33.0,1,365.0,1,"(1, 0)",014,518.0,4,"(5, 4)",common
task,34.0,0,340.0,1,"(1, 0)",014,313.0,4,"(5, 4)",common
task,35.0,0,344.0,0,"(0, 1)",014,331.0,3,"(3, 2)",common
task,36.0,0,388.0,1,"(0, 1)",014,626.0,4,"(5, 4)",common
task,37.0,0,290.0,1,"(0, 1)",014,322.0,4,"(4, 5)",common
task,38.0,1,391.0,0,"(1, 0)",014,285.0,4,"(5, 4)",rare
task,39.0,0,301.0,1,"(0, 1)",014,660.0,3,"(2, 3)",rare
task,40.0,0,330.0,1,"(1, 0)",014,883.0,4,"(5, 4)",common
task,41.0,1,283.0,0,"(0, 1)",014,351.0,3,"(3, 2)",common
task,42.0,1,383.0,0,"(1, 0)",014,857.0,3,"(3, 2)",common
task,43.0,-1,,-1,"(0, 1)",014,-1.0,-1,"(-1, -1)",
task,44.0,0,559.0,1,"(1, 0)",014,684.0,2,"(2, 3)",rare
task,45.0,0,1046.0,1,"(1, 0)",014,291.0,4,"(5, 4)",common
task,46.0,0,283.0,1,"(0, 1)",014,1040.0,4,"(5, 4)",common
task,47.0,1,450.0,1,"(0, 1)",014,1078.0,2,"(2, 3)",rare
task,48.0,0,780.0,1,"(0, 1)",014,923.0,5,"(5, 4)",common
task,49.0,1,306.0,0,"(0, 1)",014,875.0,2,"(3, 2)",common
task,50.0,0,614.0,0,"(1, 0)",014,733.0,5,"(5, 4)",rare
task,51.0,0,460.0,0,"(1, 0)",014,860.0,3,"(2, 3)",common
task,52.0,0,592.0,1,"(0, 1)",014,907.0,5,"(5, 4)",common
task,53.0,0,606.0,1,"(1, 0)",014,1099.0,4,"(4, 5)",common
task,54.0,1,401.0,0,"(0, 1)",014,683.0,2,"(3, 2)",common
task,55.0,1,626.0,1,"(0, 1)",014,574.0,2,"(2, 3)",rare
task,56.0,1,546.0,1,"(0, 1)",014,817.0,5,"(5, 4)",common
task,57.0,0,830.0,1,"(0, 1)",014,446.0,4,"(4, 5)",common
task,58.0,1,322.0,0,"(0, 1)",014,445.0,2,"(3, 2)",common
task,59.0,1,258.0,0,"(0, 1)",014,351.0,5,"(4, 5)",rare
