trial,rt,type,color_choice,word_color,word_text,congruent,correct,repeat_stim,id
0,1058,practice,blue,blue,red,False,True,False,002
1,744,practice,red,red,red,True,True,False,002
2,914,practice,blue,blue,green,False,True,False,002
3,891,practice,blue,blue,green,False,True,True,002
4,1018,practice,red,red,blue,False,True,False,002
5,610,practice,blue,blue,blue,True,True,False,002
6,865,practice,blue,blue,blue,True,True,True,002
7,907,practice,green,green,red,False,True,False,002
8,643,practice,red,red,red,True,True,False,002
9,914,practice,green,green,blue,False,True,False,002
10,593,practice,green,green,green,True,True,False,002
11,565,practice,red,red,red,True,True,False,002
12,633,practice,green,green,green,True,True,False,002
13,801,practice,red,red,green,False,True,False,002
14,680,practice,blue,red,blue,False,False,False,002
15,665,practice,green,green,blue,False,True,False,002
16,728,practice,red,red,red,True,True,False,002
17,705,practice,green,green,red,False,True,False,002
18,792,practice,blue,blue,blue,True,True,False,002
19,750,practice,red,red,green,False,True,False,002
20,935,practice,blue,blue,blue,True,True,False,002
21,729,practice,red,blue,red,False,False,False,002
22,725,practice,green,green,green,True,True,False,002
23,814,practice,green,green,green,True,True,True,002
24,623,frequent,green,green,green,True,True,True,002
25,855,frequent,blue,blue,red,False,True,False,002
26,824,frequent,green,green,red,False,True,False,002
27,848,frequent,green,green,blue,False,True,False,002
28,598,frequent,green,green,blue,False,True,True,002
29,960,frequent,blue,blue,green,False,True,False,002
30,690,frequent,green,green,blue,False,True,False,002
31,649,frequent,red,red,blue,False,True,False,002
32,761,frequent,red,red,green,False,True,False,002
33,714,frequent,green,green,red,False,True,False,002
34,674,frequent,red,red,red,True,True,False,002
35,672,frequent,blue,blue,red,False,True,False,002
36,963,frequent,green,blue,green,False,False,False,002
37,848,frequent,blue,blue,blue,True,True,False,002
38,761,frequent,red,red,blue,False,True,False,002
39,1096,frequent,red,red,green,False,True,False,002
40,697,frequent,blue,green,red,False,False,False,002
41,1295,frequent,blue,green,red,False,False,True,002
42,696,frequent,red,red,red,True,True,False,002
43,919,frequent,red,red,green,False,True,False,002
44,848,frequent,blue,blue,green,False,True,False,002
45,898,frequent,green,green,red,False,True,False,002
46,714,frequent,red,red,green,False,True,False,002
47,1505,frequent,red,red,blue,False,True,False,002
48,1009,frequent,blue,blue,green,False,True,False,002
49,1033,frequent,red,red,green,False,True,False,002
50,1569,frequent,green,green,red,False,True,False,002
51,1273,frequent,red,red,blue,False,True,False,002
52,959,frequent,blue,blue,green,False,True,False,002
53,872,frequent,green,green,red,False,True,False,002
54,1544,frequent,red,red,blue,False,True,False,002
55,1001,frequent,green,green,green,True,True,False,002
56,985,frequent,blue,blue,red,False,True,False,002
57,921,frequent,red,red,blue,False,True,False,002
58,1505,frequent,blue,blue,green,False,True,False,002
59,888,frequent,green,green,red,False,True,False,002
60,982,frequent,blue,blue,green,False,True,False,002
61,872,frequent,blue,blue,red,False,True,False,002
62,711,frequent,blue,blue,green,False,True,False,002
63,735,frequent,red,red,green,False,True,False,002
64,1094,frequent,green,green,red,False,True,False,002
65,1071,frequent,blue,blue,blue,True,True,False,002
66,919,frequent,green,green,green,True,True,False,002
67,735,frequent,red,red,green,False,True,False,002
68,1144,frequent,green,green,blue,False,True,False,002
69,1073,frequent,blue,blue,green,False,True,False,002
70,712,frequent,red,red,blue,False,True,False,002
71,751,frequent,blue,blue,blue,True,True,False,002
72,711,frequent,red,blue,red,False,False,False,002
73,894,frequent,green,green,green,True,True,False,002
74,646,frequent,red,red,red,True,True,False,002
75,582,frequent,red,red,red,True,True,True,002
76,831,frequent,blue,blue,blue,True,True,False,002
77,646,frequent,blue,blue,blue,True,True,True,002
78,647,frequent,green,green,blue,False,True,False,002
79,661,frequent,green,green,blue,False,True,True,002
80,712,frequent,blue,blue,red,False,True,False,002
81,1095,frequent,green,green,green,True,True,False,002
82,1517,frequent,blue,red,blue,False,False,False,002
83,687,frequent,red,red,red,True,True,False,002
84,685,frequent,green,green,red,False,True,False,002
85,933,frequent,green,green,blue,False,True,False,002
86,671,frequent,red,red,red,True,True,False,002
87,1607,frequent,blue,red,green,False,False,False,002
88,1639,frequent,blue,blue,green,False,True,False,002
89,823,frequent,green,green,red,False,True,False,002
90,759,frequent,red,red,green,False,True,False,002
91,1382,frequent,green,green,green,True,True,False,002
92,846,frequent,red,blue,blue,True,False,False,002
93,1318,frequent,green,green,blue,False,True,False,002
94,1007,frequent,blue,red,blue,False,False,False,002
95,1029,frequent,green,green,blue,False,True,False,002
96,1205,frequent,green,green,red,False,True,False,002
97,957,frequent,red,red,red,True,True,False,002
98,1054,frequent,green,green,blue,False,True,False,002
99,1494,frequent,blue,blue,green,False,True,False,002
100,758,frequent,green,green,blue,False,True,False,002
101,1453,frequent,blue,blue,red,False,True,False,002
102,919,frequent,blue,blue,green,False,True,False,002
103,1163,frequent,red,red,blue,False,True,False,002
104,734,frequent,green,green,blue,False,True,False,002
105,1094,frequent,red,red,blue,False,True,False,002
106,859,frequent,green,green,red,False,True,False,002
107,694,frequent,blue,blue,green,False,True,False,002
108,732,frequent,blue,blue,red,False,True,False,002
109,1181,frequent,red,red,green,False,True,False,002
110,733,frequent,red,red,blue,False,True,False,002
111,805,frequent,blue,blue,red,False,True,False,002
112,694,frequent,blue,blue,red,False,True,True,002
113,774,frequent,green,green,red,False,True,False,002
114,1278,frequent,blue,blue,red,False,True,False,002
115,976,frequent,red,red,green,False,True,False,002
116,891,frequent,green,green,blue,False,True,False,002
117,981,frequent,blue,blue,red,False,True,False,002
118,1413,frequent,red,red,blue,False,True,False,002
119,1429,frequent,green,green,red,False,True,False,002
120,2267,frequent,blue,blue,red,False,True,False,002
121,982,frequent,red,red,green,False,True,False,002
122,1430,frequent,blue,blue,red,False,True,False,002
123,718,frequent,red,red,green,False,True,False,002
124,821,frequent,green,green,green,True,True,False,002
125,1227,frequent,green,green,blue,False,True,False,002
126,1075,frequent,red,red,green,False,True,False,002
127,659,frequent,red,red,green,False,True,True,002
128,780,frequent,green,green,red,False,True,False,002
129,755,frequent,blue,red,blue,False,False,False,002
130,779,frequent,red,red,red,True,True,False,002
131,732,frequent,red,red,blue,False,True,False,002
132,1004,frequent,blue,blue,green,False,True,False,002
133,956,frequent,red,red,blue,False,True,False,002
134,1053,frequent,green,green,blue,False,True,False,002
135,1325,frequent,blue,blue,blue,True,True,False,002
136,780,frequent,blue,blue,red,False,True,False,002
137,779,frequent,blue,blue,blue,True,True,False,002
138,668,frequent,blue,blue,green,False,True,False,002
139,1404,frequent,green,green,green,True,True,False,002
140,707,frequent,green,green,blue,False,True,False,002
141,906,frequent,blue,blue,red,False,True,False,002
142,708,frequent,red,red,green,False,True,False,002
143,1453,frequent,blue,blue,green,False,True,False,002
144,991,infrequent,green,green,red,False,True,False,002
145,1113,infrequent,blue,blue,blue,True,True,False,002
