type,trial,FB,fs_RT,fs_choice,fs_stims,id,ss_RT,ss_choice,ss_stims,Switch,transition
task,75.0,1,7.0,1,"(1, 0)",2,0.0,4,"(4, 5)",1.0,common
task,76.0,0,39.0,0,"(1, 0)",2,123.0,2,"(2, 3)",1.0,common
task,77.0,0,58.0,0,"(0, 1)",2,147.0,3,"(2, 3)",0.0,common
task,78.0,1,60.0,0,"(0, 1)",2,48.0,5,"(4, 5)",0.0,rare
task,79.0,0,63.0,0,"(0, 1)",2,78.0,3,"(2, 3)",0.0,common
task,80.0,0,26.0,0,"(0, 1)",2,23.0,3,"(2, 3)",0.0,common
task,81.0,0,73.0,0,"(0, 1)",2,24.0,3,"(3, 2)",0.0,common
task,82.0,0,93.0,1,"(0, 1)",2,256.0,3,"(3, 2)",1.0,rare
task,83.0,1,78.0,0,"(0, 1)",2,162.0,4,"(5, 4)",1.0,rare
task,84.0,-1,1020.0,1,"(1, 0)",2,,-1,"(4, 5)",1.0,common
task,85.0,-1,,-1,"(0, 1)",2,-1.0,-1,"(-1, -1)",1.0,
task,86.0,1,210.0,1,"(1, 0)",2,1832.0,5,"(4, 5)",1.0,common
task,87.0,1,969.0,1,"(0, 1)",2,0.0,5,"(5, 4)",0.0,common
task,88.0,1,259.0,1,"(1, 0)",2,9.0,2,"(3, 2)",0.0,rare
task,89.0,1,905.0,0,"(0, 1)",2,115.0,4,"(4, 5)",1.0,rare
task,90.0,0,105.0,0,"(0, 1)",2,101.0,5,"(5, 4)",0.0,rare
task,91.0,0,107.0,1,"(1, 0)",2,0.0,4,"(4, 5)",1.0,common
task,92.0,1,53.0,1,"(1, 0)",2,89.0,5,"(5, 4)",0.0,common
task,93.0,0,1.0,0,"(1, 0)",2,96.0,2,"(3, 2)",1.0,common
task,94.0,1,46.0,1,"(0, 1)",2,4.0,4,"(5, 4)",1.0,common
task,95.0,1,45.0,0,"(0, 1)",2,231.0,3,"(2, 3)",1.0,common
task,96.0,1,6.0,1,"(1, 0)",2,52.0,2,"(3, 2)",1.0,rare
task,97.0,1,54.0,1,"(1, 0)",2,3.0,4,"(5, 4)",0.0,common
task,98.0,1,5.0,0,"(1, 0)",2,0.0,3,"(3, 2)",1.0,common
task,99.0,0,37.0,1,"(0, 1)",2,64.0,4,"(4, 5)",1.0,common
task,100.0,1,151.0,0,"(1, 0)",2,49.0,2,"(3, 2)",1.0,common
task,101.0,0,35.0,0,"(0, 1)",2,2.0,5,"(5, 4)",0.0,rare
task,102.0,0,4.0,1,"(0, 1)",2,107.0,5,"(4, 5)",1.0,common
task,103.0,0,206.0,0,"(0, 1)",2,14.0,2,"(2, 3)",1.0,common
task,104.0,-1,,-1,"(0, 1)",2,-1.0,-1,"(-1, -1)",1.0,
task,105.0,1,73.0,1,"(0, 1)",2,1026.0,4,"(5, 4)",1.0,common
task,106.0,1,85.0,1,"(1, 0)",2,3.0,5,"(4, 5)",0.0,common
task,107.0,0,108.0,1,"(0, 1)",2,3.0,5,"(5, 4)",0.0,common
task,108.0,0,56.0,0,"(0, 1)",2,1.0,3,"(2, 3)",1.0,common
task,109.0,0,32.0,1,"(1, 0)",2,137.0,5,"(4, 5)",1.0,common
task,110.0,0,112.0,0,"(0, 1)",2,50.0,3,"(2, 3)",1.0,common
task,111.0,0,264.0,1,"(0, 1)",2,45.0,5,"(5, 4)",1.0,common
task,112.0,1,55.0,1,"(0, 1)",2,144.0,5,"(5, 4)",0.0,common
task,113.0,1,65.0,1,"(1, 0)",2,183.0,4,"(5, 4)",0.0,common
task,114.0,0,41.0,1,"(1, 0)",2,107.0,4,"(5, 4)",0.0,common
task,115.0,0,242.0,1,"(0, 1)",2,0.0,3,"(2, 3)",0.0,rare
task,116.0,1,60.0,0,"(0, 1)",2,68.0,2,"(2, 3)",1.0,common
task,117.0,1,141.0,1,"(1, 0)",2,7.0,5,"(4, 5)",1.0,common
task,118.0,0,16.0,0,"(1, 0)",2,114.0,2,"(3, 2)",1.0,common
task,119.0,0,66.0,0,"(1, 0)",2,19.0,2,"(2, 3)",0.0,common
task,120.0,0,57.0,0,"(0, 1)",2,152.0,2,"(3, 2)",0.0,common
task,121.0,1,9.0,1,"(0, 1)",2,18.0,4,"(5, 4)",1.0,common
task,122.0,1,102.0,0,"(1, 0)",2,164.0,2,"(2, 3)",1.0,common
task,123.0,0,19.0,0,"(0, 1)",2,2.0,3,"(2, 3)",0.0,common
task,124.0,0,106.0,0,"(0, 1)",2,111.0,2,"(2, 3)",0.0,common
task,125.0,0,77.0,1,"(0, 1)",2,0.0,2,"(2, 3)",1.0,rare
task,126.0,0,31.0,1,"(0, 1)",2,144.0,4,"(5, 4)",0.0,common
task,127.0,1,137.0,0,"(0, 1)",2,176.0,5,"(5, 4)",1.0,rare
task,128.0,1,95.0,1,"(1, 0)",2,86.0,4,"(5, 4)",1.0,common
task,129.0,0,120.0,0,"(0, 1)",2,32.0,3,"(2, 3)",1.0,common
task,130.0,0,47.0,0,"(0, 1)",2,70.0,4,"(5, 4)",0.0,rare
task,131.0,1,2.0,1,"(0, 1)",2,6.0,3,"(2, 3)",1.0,rare
task,132.0,0,72.0,1,"(1, 0)",2,91.0,3,"(3, 2)",0.0,rare
task,133.0,1,255.0,0,"(1, 0)",2,98.0,4,"(4, 5)",1.0,rare
task,134.0,1,33.0,1,"(0, 1)",2,150.0,4,"(5, 4)",1.0,common
task,135.0,0,260.0,1,"(0, 1)",2,14.0,2,"(2, 3)",0.0,rare
task,136.0,1,111.0,1,"(0, 1)",2,22.0,5,"(4, 5)",0.0,common
task,137.0,0,74.0,0,"(0, 1)",2,161.0,2,"(3, 2)",1.0,common
task,138.0,1,153.0,1,"(1, 0)",2,30.0,5,"(5, 4)",1.0,common
task,139.0,1,161.0,0,"(1, 0)",2,102.0,3,"(2, 3)",1.0,common
task,140.0,0,45.0,1,"(1, 0)",2,0.0,3,"(3, 2)",1.0,rare
task,141.0,1,4.0,0,"(0, 1)",2,0.0,2,"(3, 2)",1.0,common
task,142.0,0,49.0,0,"(1, 0)",2,0.0,2,"(2, 3)",0.0,common
task,143.0,1,55.0,0,"(0, 1)",2,0.0,3,"(2, 3)",0.0,common
task,144.0,0,285.0,0,"(0, 1)",2,51.0,2,"(3, 2)",0.0,common
task,145.0,1,52.0,1,"(1, 0)",2,75.0,4,"(5, 4)",1.0,common
task,146.0,1,18.0,0,"(1, 0)",2,10.0,5,"(4, 5)",1.0,rare
task,147.0,0,118.0,0,"(0, 1)",2,0.0,3,"(2, 3)",0.0,common
task,148.0,0,38.0,1,"(1, 0)",2,9.0,4,"(5, 4)",1.0,common
task,149.0,0,172.0,0,"(0, 1)",2,213.0,3,"(2, 3)",1.0,common
task,150.0,0,92.0,0,"(0, 1)",2,1.0,2,"(2, 3)",0.0,common
task,151.0,0,114.0,1,"(1, 0)",2,90.0,4,"(4, 5)",1.0,common
task,152.0,0,422.0,0,"(1, 0)",2,25.0,2,"(2, 3)",1.0,common
task,153.0,1,120.0,0,"(0, 1)",2,819.0,4,"(5, 4)",0.0,rare
task,154.0,0,3.0,0,"(0, 1)",2,201.0,3,"(3, 2)",0.0,common
task,155.0,1,175.0,1,"(1, 0)",2,142.0,3,"(2, 3)",1.0,rare
task,156.0,0,98.0,0,"(0, 1)",2,131.0,4,"(5, 4)",1.0,rare
task,157.0,0,49.0,1,"(0, 1)",2,108.0,4,"(4, 5)",1.0,common
task,158.0,0,79.0,1,"(1, 0)",2,28.0,5,"(4, 5)",0.0,common
task,159.0,1,36.0,1,"(1, 0)",2,2.0,5,"(4, 5)",0.0,common
task,160.0,0,451.0,0,"(0, 1)",2,150.0,2,"(2, 3)",1.0,common
task,161.0,1,130.0,1,"(1, 0)",2,79.0,5,"(4, 5)",1.0,common
task,162.0,0,96.0,1,"(0, 1)",2,81.0,2,"(2, 3)",0.0,rare
task,163.0,0,86.0,1,"(1, 0)",2,126.0,5,"(5, 4)",0.0,common
task,164.0,0,72.0,0,"(1, 0)",2,0.0,3,"(2, 3)",1.0,common
task,165.0,0,123.0,1,"(1, 0)",2,132.0,4,"(5, 4)",1.0,common
task,166.0,0,119.0,0,"(0, 1)",2,2.0,4,"(5, 4)",1.0,rare
task,167.0,1,3.0,1,"(0, 1)",2,0.0,4,"(5, 4)",1.0,common
task,168.0,1,210.0,0,"(1, 0)",2,164.0,3,"(3, 2)",1.0,common
task,169.0,1,362.0,0,"(1, 0)",2,145.0,5,"(4, 5)",0.0,rare
task,170.0,1,51.0,1,"(1, 0)",2,242.0,2,"(3, 2)",1.0,rare
task,171.0,1,160.0,0,"(0, 1)",2,196.0,5,"(5, 4)",1.0,rare
task,172.0,0,94.0,1,"(0, 1)",2,146.0,4,"(4, 5)",1.0,common
task,173.0,1,2.0,1,"(1, 0)",2,223.0,3,"(2, 3)",0.0,rare
task,174.0,0,827.0,0,"(0, 1)",2,124.0,3,"(2, 3)",1.0,common
task,175.0,1,43.0,0,"(0, 1)",2,253.0,3,"(2, 3)",0.0,common
task,176.0,1,67.0,1,"(0, 1)",2,69.0,5,"(5, 4)",1.0,common
task,177.0,0,181.0,1,"(0, 1)",2,91.0,5,"(4, 5)",0.0,common
task,178.0,0,1732.0,1,"(0, 1)",2,0.0,5,"(5, 4)",0.0,common
task,179.0,0,376.0,0,"(0, 1)",2,27.0,3,"(2, 3)",1.0,common
task,180.0,0,14.0,0,"(0, 1)",2,34.0,2,"(2, 3)",0.0,common
task,181.0,1,3.0,0,"(1, 0)",2,17.0,3,"(3, 2)",0.0,common
task,182.0,0,82.0,0,"(1, 0)",2,4.0,3,"(2, 3)",0.0,common
task,183.0,1,141.0,1,"(1, 0)",2,136.0,5,"(4, 5)",1.0,common
task,184.0,0,89.0,1,"(0, 1)",2,73.0,3,"(3, 2)",0.0,rare
task,185.0,0,3.0,0,"(1, 0)",2,0.0,3,"(2, 3)",1.0,common
task,186.0,0,261.0,0,"(0, 1)",2,239.0,2,"(2, 3)",0.0,common
task,187.0,0,33.0,1,"(1, 0)",2,132.0,4,"(5, 4)",1.0,common
task,188.0,0,4.0,1,"(1, 0)",2,118.0,4,"(5, 4)",0.0,common
task,189.0,1,51.0,1,"(1, 0)",2,50.0,5,"(4, 5)",0.0,common
task,190.0,0,23.0,1,"(1, 0)",2,2.0,2,"(3, 2)",0.0,rare
task,191.0,1,3.0,0,"(1, 0)",2,6.0,5,"(5, 4)",1.0,rare
task,192.0,1,5.0,1,"(1, 0)",2,136.0,5,"(4, 5)",1.0,common
task,193.0,0,295.0,0,"(1, 0)",2,154.0,2,"(2, 3)",1.0,common
task,194.0,1,49.0,0,"(1, 0)",2,66.0,2,"(2, 3)",0.0,common
task,195.0,0,148.0,1,"(1, 0)",2,1.0,4,"(4, 5)",1.0,common
task,196.0,0,6.0,1,"(0, 1)",2,124.0,3,"(3, 2)",0.0,rare
task,197.0,1,96.0,1,"(1, 0)",2,11.0,5,"(4, 5)",0.0,common
task,198.0,1,10.0,1,"(1, 0)",2,0.0,4,"(5, 4)",0.0,common
task,199.0,0,131.0,0,"(1, 0)",2,114.0,2,"(2, 3)",1.0,common
practice,0.0,0,1146.0,0,"(0, 1)",3,1124.0,5,"(5, 4)",,rare
practice,1.0,0,612.0,1,"(1, 0)",3,692.0,5,"(4, 5)",1.0,common
practice,2.0,0,677.0,1,"(0, 1)",3,1125.0,4,"(5, 4)",0.0,common
practice,3.0,0,612.0,1,"(1, 0)",3,1189.0,4,"(4, 5)",0.0,common
practice,4.0,1,703.0,1,"(1, 0)",3,964.0,2,"(2, 3)",0.0,rare
practice,5.0,1,1060.0,0,"(0, 1)",3,1325.0,3,"(3, 2)",1.0,common
practice,6.0,1,606.0,1,"(1, 0)",3,1147.0,5,"(5, 4)",1.0,common
practice,7.0,1,764.0,0,"(0, 1)",3,988.0,3,"(3, 2)",1.0,common
practice,8.0,1,565.0,0,"(0, 1)",3,827.0,3,"(3, 2)",0.0,common
practice,9.0,0,604.0,1,"(1, 0)",3,1754.0,5,"(5, 4)",1.0,common
task,0.0,0,1175.0,0,"(0, 1)",3,1144.0,5,"(5, 4)",,rare
task,1.0,1,1155.0,0,"(0, 1)",3,1121.0,2,"(2, 3)",0.0,common
task,2.0,1,473.0,0,"(0, 1)",3,961.0,4,"(4, 5)",0.0,rare
task,3.0,0,810.0,0,"(0, 1)",3,1257.0,2,"(3, 2)",0.0,common
task,4.0,1,410.0,0,"(0, 1)",3,763.0,5,"(5, 4)",0.0,rare
task,5.0,1,1033.0,0,"(1, 0)",3,1321.0,3,"(3, 2)",0.0,common
task,6.0,0,715.0,0,"(1, 0)",3,1040.0,5,"(4, 5)",0.0,rare
task,7.0,0,786.0,0,"(1, 0)",3,1033.0,3,"(2, 3)",0.0,common
task,8.0,0,760.0,0,"(0, 1)",3,886.0,2,"(2, 3)",0.0,common
task,9.0,1,993.0,1,"(1, 0)",3,800.0,5,"(5, 4)",1.0,common
task,10.0,0,634.0,1,"(1, 0)",3,1072.0,5,"(4, 5)",0.0,common
task,11.0,1,489.0,1,"(1, 0)",3,1019.0,3,"(3, 2)",0.0,rare
task,12.0,0,746.0,1,"(1, 0)",3,886.0,3,"(2, 3)",0.0,rare
task,13.0,0,1034.0,0,"(1, 0)",3,960.0,3,"(3, 2)",1.0,common
task,14.0,0,695.0,1,"(1, 0)",3,1087.0,4,"(4, 5)",1.0,common
task,15.0,1,672.0,0,"(0, 1)",3,895.0,3,"(3, 2)",1.0,common
task,16.0,0,759.0,0,"(1, 0)",3,942.0,4,"(4, 5)",0.0,rare
task,17.0,0,854.0,1,"(1, 0)",3,718.0,3,"(3, 2)",1.0,rare
task,18.0,1,718.0,0,"(1, 0)",3,869.0,3,"(3, 2)",1.0,common
task,19.0,0,696.0,0,"(1, 0)",3,1543.0,5,"(5, 4)",0.0,rare
task,20.0,0,599.0,0,"(0, 1)",3,885.0,3,"(2, 3)",0.0,common
task,21.0,0,869.0,0,"(0, 1)",3,1431.0,2,"(2, 3)",0.0,common
task,22.0,0,720.0,1,"(1, 0)",3,911.0,4,"(4, 5)",1.0,common
task,23.0,1,656.0,0,"(0, 1)",3,892.0,3,"(2, 3)",1.0,common
task,24.0,1,1004.0,1,"(1, 0)",3,821.0,4,"(4, 5)",1.0,common
task,25.0,0,831.0,0,"(0, 1)",3,709.0,3,"(3, 2)",1.0,common
task,26.0,0,805.0,0,"(0, 1)",3,903.0,3,"(3, 2)",0.0,common
task,27.0,0,717.0,1,"(1, 0)",3,1005.0,3,"(2, 3)",1.0,rare
task,28.0,0,535.0,0,"(0, 1)",3,899.0,4,"(4, 5)",1.0,rare
task,29.0,0,760.0,0,"(1, 0)",3,924.0,3,"(2, 3)",0.0,common
task,30.0,1,466.0,0,"(0, 1)",3,1138.0,2,"(3, 2)",0.0,common
task,31.0,1,580.0,0,"(0, 1)",3,1002.0,4,"(4, 5)",0.0,rare
task,32.0,1,1028.0,1,"(1, 0)",3,1115.0,4,"(4, 5)",1.0,common
task,33.0,0,692.0,1,"(1, 0)",3,1425.0,4,"(5, 4)",0.0,common
task,34.0,0,716.0,1,"(1, 0)",3,891.0,4,"(4, 5)",0.0,common
task,35.0,0,655.0,0,"(0, 1)",3,1618.0,4,"(5, 4)",1.0,rare
task,36.0,1,706.0,0,"(0, 1)",3,1249.0,2,"(2, 3)",0.0,common
task,37.0,1,754.0,0,"(0, 1)",3,929.0,5,"(5, 4)",0.0,rare
task,38.0,0,706.0,1,"(1, 0)",3,1309.0,2,"(3, 2)",1.0,rare
task,39.0,0,553.0,1,"(1, 0)",3,752.0,4,"(4, 5)",0.0,common
task,40.0,0,577.0,0,"(0, 1)",3,868.0,3,"(3, 2)",1.0,common
task,41.0,0,788.0,0,"(0, 1)",3,680.0,2,"(3, 2)",0.0,common
task,42.0,0,691.0,1,"(1, 0)",3,1534.0,5,"(5, 4)",1.0,common
task,43.0,1,778.0,0,"(1, 0)",3,1327.0,4,"(4, 5)",1.0,rare
task,44.0,1,907.0,0,"(1, 0)",3,976.0,5,"(5, 4)",0.0,rare
task,45.0,1,641.0,0,"(0, 1)",3,1224.0,3,"(2, 3)",0.0,common
task,46.0,0,579.0,0,"(0, 1)",3,1383.0,4,"(4, 5)",0.0,rare
task,47.0,1,1050.0,0,"(0, 1)",3,973.0,5,"(5, 4)",0.0,rare
task,48.0,0,823.0,0,"(0, 1)",3,1295.0,4,"(4, 5)",0.0,rare
task,49.0,1,686.0,0,"(0, 1)",3,1656.0,3,"(2, 3)",0.0,common
task,50.0,1,554.0,0,"(0, 1)",3,814.0,3,"(2, 3)",0.0,common
task,51.0,0,576.0,0,"(1, 0)",3,576.0,3,"(2, 3)",0.0,common
task,52.0,0,467.0,0,"(1, 0)",3,684.0,5,"(5, 4)",0.0,rare
task,53.0,0,665.0,0,"(0, 1)",3,717.0,2,"(2, 3)",0.0,common
task,54.0,0,549.0,0,"(0, 1)",3,673.0,5,"(5, 4)",0.0,rare
task,55.0,0,726.0,1,"(0, 1)",3,796.0,4,"(4, 5)",1.0,common
task,56.0,0,596.0,0,"(0, 1)",3,838.0,2,"(3, 2)",1.0,common
task,57.0,1,462.0,0,"(0, 1)",3,966.0,5,"(5, 4)",0.0,rare
task,58.0,1,1023.0,0,"(1, 0)",3,878.0,2,"(2, 3)",0.0,common
task,59.0,1,920.0,0,"(1, 0)",3,1269.0,2,"(3, 2)",0.0,common
task,60.0,1,624.0,0,"(1, 0)",3,1204.0,5,"(5, 4)",0.0,rare
task,61.0,0,637.0,0,"(1, 0)",3,1149.0,2,"(3, 2)",0.0,common
task,62.0,0,547.0,0,"(1, 0)",3,662.0,3,"(3, 2)",0.0,common
task,63.0,0,862.0,0,"(1, 0)",3,1270.0,5,"(4, 5)",0.0,rare
task,64.0,1,686.0,0,"(1, 0)",3,854.0,5,"(5, 4)",0.0,rare
task,65.0,1,1429.0,1,"(1, 0)",3,995.0,5,"(5, 4)",1.0,common
task,66.0,1,886.0,1,"(1, 0)",3,1060.0,5,"(5, 4)",0.0,common
task,67.0,0,936.0,1,"(1, 0)",3,1059.0,5,"(5, 4)",0.0,common
task,68.0,1,572.0,0,"(0, 1)",3,1040.0,2,"(3, 2)",1.0,common
task,69.0,0,933.0,0,"(1, 0)",3,1043.0,5,"(4, 5)",0.0,rare
task,70.0,0,708.0,0,"(1, 0)",3,957.0,5,"(5, 4)",0.0,rare
task,71.0,0,796.0,0,"(1, 0)",3,669.0,2,"(2, 3)",0.0,common
task,72.0,1,724.0,0,"(0, 1)",3,1130.0,2,"(2, 3)",0.0,common
task,73.0,1,636.0,0,"(0, 1)",3,967.0,5,"(5, 4)",0.0,rare
task,74.0,0,891.0,0,"(1, 0)",3,855.0,2,"(2, 3)",0.0,common
task,75.0,0,681.0,0,"(1, 0)",3,721.0,2,"(2, 3)",0.0,common
task,76.0,0,680.0,0,"(0, 1)",3,738.0,2,"(2, 3)",0.0,common
task,77.0,0,550.0,0,"(1, 0)",3,863.0,3,"(3, 2)",0.0,common
task,78.0,0,883.0,1,"(1, 0)",3,993.0,2,"(2, 3)",1.0,rare
task,79.0,0,930.0,0,"(0, 1)",3,1305.0,4,"(4, 5)",1.0,rare
task,80.0,0,706.0,0,"(0, 1)",3,1229.0,3,"(2, 3)",0.0,common
task,81.0,1,619.0,0,"(0, 1)",3,1103.0,3,"(3, 2)",0.0,common
task,82.0,0,704.0,0,"(0, 1)",3,661.0,3,"(3, 2)",0.0,common
task,83.0,0,681.0,0,"(1, 0)",3,592.0,3,"(3, 2)",0.0,common
task,84.0,1,837.0,0,"(1, 0)",3,1535.0,5,"(4, 5)",0.0,rare
task,85.0,0,1040.0,0,"(0, 1)",3,1305.0,3,"(3, 2)",0.0,common
task,86.0,0,592.0,0,"(0, 1)",3,1188.0,3,"(2, 3)",0.0,common
task,87.0,1,883.0,1,"(0, 1)",3,1176.0,4,"(5, 4)",1.0,common
task,88.0,0,828.0,1,"(0, 1)",3,735.0,4,"(5, 4)",0.0,common
task,89.0,0,568.0,1,"(0, 1)",3,674.0,5,"(5, 4)",0.0,common
