type,trial,FB,fs_RT,fs_choice,fs_stims,id,ss_RT,ss_choice,ss_stims,transition
practice,0.0,1,1501,0,"(1, 0)",007,1204.0,3,"(2, 3)",common
practice,1.0,0,751,0,"(0, 1)",007,1072.0,4,"(5, 4)",rare
practice,2.0,1,1266,1,"(0, 1)",007,990.0,5,"(4, 5)",common
practice,3.0,0,641,1,"(0, 1)",007,908.0,4,"(5, 4)",common
practice,4.0,0,1281,0,"(1, 0)",007,1237.0,2,"(3, 2)",common
practice,5.0,0,1000,0,"(1, 0)",007,754.0,3,"(3, 2)",common
practice,6.0,1,900,1,"(0, 1)",007,1453.0,5,"(4, 5)",common
practice,7.0,1,887,1,"(1, 0)",007,565.0,5,"(4, 5)",common
practice,8.0,1,845,1,"(0, 1)",007,594.0,5,"(4, 5)",common
practice,9.0,1,660,1,"(1, 0)",007,460.0,5,"(4, 5)",common
task,0.0,1,902,1,"(0, 1)",007,637.0,2,"(3, 2)",rare
task,1.0,-1,735,1,"(1, 0)",007,,-1,"(5, 4)",common
task,2.0,1,610,1,"(0, 1)",007,750.0,5,"(5, 4)",common
task,3.0,0,464,1,"(1, 0)",007,474.0,5,"(5, 4)",common
task,4.0,0,518,1,"(0, 1)",007,584.0,4,"(4, 5)",common
task,5.0,0,846,0,"(1, 0)",007,495.0,2,"(3, 2)",common
task,6.0,0,574,0,"(1, 0)",007,773.0,3,"(2, 3)",common
task,7.0,0,439,1,"(1, 0)",007,651.0,5,"(5, 4)",common
task,8.0,1,314,1,"(0, 1)",007,416.0,4,"(5, 4)",common
task,9.0,1,389,1,"(0, 1)",007,1354.0,3,"(3, 2)",rare
task,10.0,1,643,1,"(0, 1)",007,652.0,3,"(2, 3)",rare
task,11.0,0,486,1,"(1, 0)",007,531.0,5,"(4, 5)",common
task,12.0,1,457,1,"(1, 0)",007,576.0,4,"(5, 4)",common
task,13.0,1,408,1,"(0, 1)",007,428.0,4,"(5, 4)",common
task,14.0,0,404,1,"(0, 1)",007,411.0,4,"(5, 4)",common
task,15.0,0,457,0,"(1, 0)",007,431.0,2,"(3, 2)",common
task,16.0,0,455,0,"(1, 0)",007,634.0,3,"(2, 3)",common
task,17.0,1,970,1,"(1, 0)",007,697.0,4,"(4, 5)",common
task,18.0,1,403,1,"(1, 0)",007,472.0,4,"(5, 4)",common
task,19.0,0,579,1,"(0, 1)",007,1141.0,2,"(2, 3)",rare
task,20.0,1,389,1,"(0, 1)",007,385.0,4,"(4, 5)",common
