type,trial,FB,fs_RT,fs_choice,fs_stims,id,ss_RT,ss_choice,ss_stims,transition
practice,0.0,0,480,1,"(0, 1)",005,1085.0,4,"(4, 5)",common
practice,1.0,1,482,1,"(0, 1)",005,1000.0,5,"(4, 5)",common
practice,2.0,1,582,1,"(1, 0)",005,699.0,4,"(5, 4)",common
practice,3.0,0,585,1,"(1, 0)",005,1030.0,2,"(3, 2)",rare
practice,4.0,0,340,1,"(0, 1)",005,855.0,3,"(3, 2)",rare
practice,5.0,0,407,1,"(0, 1)",005,1061.0,3,"(2, 3)",rare
practice,6.0,1,593,0,"(1, 0)",005,472.0,3,"(3, 2)",common
practice,7.0,0,625,0,"(0, 1)",005,538.0,4,"(4, 5)",rare
practice,8.0,1,533,0,"(1, 0)",005,666.0,5,"(5, 4)",rare
practice,9.0,0,391,1,"(1, 0)",005,382.0,5,"(4, 5)",common
task,0.0,0,799,1,"(0, 1)",005,879.0,3,"(2, 3)",rare
task,1.0,1,633,0,"(0, 1)",005,779.0,3,"(2, 3)",common
task,2.0,1,1001,0,"(1, 0)",005,595.0,3,"(3, 2)",common
task,3.0,0,717,0,"(0, 1)",005,755.0,3,"(3, 2)",common
task,4.0,0,603,0,"(1, 0)",005,842.0,2,"(2, 3)",common
task,5.0,1,662,1,"(0, 1)",005,754.0,4,"(5, 4)",common
task,6.0,0,535,1,"(1, 0)",005,1060.0,4,"(5, 4)",common
task,7.0,0,718,1,"(0, 1)",005,574.0,4,"(4, 5)",common
task,8.0,1,803,1,"(1, 0)",005,1150.0,3,"(3, 2)",rare
task,9.0,0,591,1,"(1, 0)",005,1449.0,5,"(4, 5)",common
task,10.0,1,919,0,"(0, 1)",005,1004.0,2,"(3, 2)",common
task,11.0,0,959,0,"(0, 1)",005,1074.0,5,"(4, 5)",rare
task,12.0,0,783,0,"(0, 1)",005,1128.0,2,"(3, 2)",common
task,13.0,1,767,1,"(1, 0)",005,857.0,5,"(5, 4)",common
task,14.0,1,978,1,"(0, 1)",005,1066.0,4,"(5, 4)",common
task,15.0,0,986,1,"(1, 0)",005,795.0,4,"(4, 5)",common
task,16.0,1,806,1,"(0, 1)",005,1485.0,5,"(5, 4)",common
