type,trial,FB,fs_RT,fs_choice,fs_stims,id,ss_RT,ss_choice,ss_stims,transition
practice,0.0,-1,,-1,"(0, 1)",011,-1,-1,-1,
practice,1.0,-1,,-1,"(1, 0)",011,-1,-1,-1,
practice,2.0,1,799.0,0,"(1, 0)",011,1406,3,"(2, 3)",common
practice,3.0,0,1334.0,0,"(0, 1)",011,842,3,"(2, 3)",common
practice,4.0,1,1072.0,0,"(0, 1)",011,1323,5,"(4, 5)",rare
practice,5.0,1,963.0,0,"(1, 0)",011,546,3,"(2, 3)",common
practice,6.0,1,536.0,0,"(1, 0)",011,777,3,"(2, 3)",common
practice,7.0,0,537.0,1,"(0, 1)",011,458,5,"(4, 5)",common
practice,8.0,1,1073.0,0,"(0, 1)",011,973,3,"(3, 2)",common
practice,9.0,0,818.0,0,"(1, 0)",011,634,3,"(2, 3)",common
task,0.0,0,1094.0,1,"(1, 0)",011,893,4,"(4, 5)",common
task,1.0,-1,,-1,"(0, 1)",011,-1,-1,"(-1, -1)",
task,2.0,0,703.0,1,"(0, 1)",011,806,5,"(4, 5)",common
task,3.0,1,895.0,0,"(0, 1)",011,563,2,"(2, 3)",common
task,4.0,0,912.0,0,"(1, 0)",011,906,3,"(3, 2)",common
task,5.0,0,960.0,0,"(0, 1)",011,1216,5,"(4, 5)",rare
task,6.0,1,1133.0,0,"(1, 0)",011,1046,4,"(4, 5)",rare
task,7.0,0,763.0,0,"(1, 0)",011,855,3,"(3, 2)",common
task,8.0,0,1405.0,0,"(0, 1)",011,1114,5,"(4, 5)",rare
task,9.0,0,991.0,0,"(0, 1)",011,1172,3,"(2, 3)",common
task,10.0,1,928.0,0,"(1, 0)",011,1067,3,"(2, 3)",common
task,11.0,0,898.0,0,"(0, 1)",011,733,3,"(2, 3)",common
task,12.0,0,761.0,0,"(0, 1)",011,647,2,"(2, 3)",common
task,13.0,0,823.0,0,"(0, 1)",011,1338,5,"(5, 4)",rare
task,14.0,0,707.0,0,"(0, 1)",011,1041,2,"(3, 2)",common
task,15.0,0,720.0,0,"(0, 1)",011,1012,3,"(3, 2)",common
task,16.0,0,766.0,1,"(0, 1)",011,739,2,"(3, 2)",rare
task,17.0,1,798.0,1,"(1, 0)",011,776,5,"(5, 4)",common
task,18.0,1,913.0,1,"(1, 0)",011,739,5,"(4, 5)",common
task,19.0,0,882.0,1,"(0, 1)",011,1613,3,"(3, 2)",rare
task,20.0,0,1804.0,1,"(1, 0)",011,762,5,"(4, 5)",common
task,21.0,0,929.0,0,"(0, 1)",011,1004,3,"(2, 3)",common
task,22.0,0,1045.0,0,"(0, 1)",011,1343,3,"(2, 3)",common
task,23.0,0,880.0,1,"(0, 1)",011,625,5,"(4, 5)",common
task,24.0,1,849.0,1,"(1, 0)",011,898,5,"(4, 5)",common
task,25.0,0,1313.0,1,"(0, 1)",011,415,5,"(5, 4)",common
task,26.0,1,1292.0,1,"(0, 1)",011,673,4,"(5, 4)",common
task,27.0,0,1449.0,0,"(1, 0)",011,1203,2,"(2, 3)",common
task,28.0,1,814.0,1,"(1, 0)",011,704,5,"(4, 5)",common
task,29.0,1,925.0,1,"(1, 0)",011,463,5,"(4, 5)",common
task,30.0,1,795.0,1,"(1, 0)",011,433,5,"(4, 5)",common
task,31.0,0,541.0,1,"(1, 0)",011,1530,2,"(2, 3)",rare
task,32.0,1,907.0,1,"(1, 0)",011,1046,5,"(5, 4)",common
task,33.0,0,762.0,1,"(1, 0)",011,512,5,"(4, 5)",common
task,34.0,1,1316.0,1,"(0, 1)",011,468,5,"(4, 5)",common
task,35.0,0,768.0,1,"(0, 1)",011,454,5,"(4, 5)",common
task,36.0,0,1069.0,1,"(1, 0)",011,738,5,"(5, 4)",common
task,37.0,0,867.0,1,"(0, 1)",011,969,2,"(2, 3)",rare
task,38.0,1,1347.0,1,"(0, 1)",011,468,5,"(4, 5)",common
task,39.0,1,865.0,1,"(0, 1)",011,458,5,"(4, 5)",common
task,40.0,1,908.0,1,"(0, 1)",011,866,5,"(5, 4)",common
task,41.0,0,752.0,1,"(0, 1)",011,1281,3,"(2, 3)",rare
task,42.0,0,953.0,1,"(0, 1)",011,1874,2,"(2, 3)",rare
task,43.0,0,952.0,1,"(1, 0)",011,594,5,"(4, 5)",common
task,44.0,1,545.0,1,"(1, 0)",011,761,5,"(5, 4)",common
task,45.0,0,894.0,1,"(0, 1)",011,941,3,"(3, 2)",rare
task,46.0,1,1021.0,1,"(0, 1)",011,940,5,"(5, 4)",common
task,47.0,0,921.0,1,"(1, 0)",011,866,3,"(3, 2)",rare
task,48.0,0,567.0,1,"(1, 0)",011,766,5,"(5, 4)",common
task,49.0,1,1364.0,0,"(1, 0)",011,883,5,"(5, 4)",rare
task,50.0,0,551.0,0,"(1, 0)",011,879,2,"(3, 2)",common
task,51.0,1,990.0,1,"(0, 1)",011,464,5,"(4, 5)",common
task,52.0,1,1346.0,1,"(0, 1)",011,765,5,"(5, 4)",common
task,53.0,1,1022.0,1,"(1, 0)",011,755,5,"(4, 5)",common
task,54.0,0,488.0,1,"(1, 0)",011,810,2,"(2, 3)",rare
task,55.0,1,1087.0,1,"(0, 1)",011,555,5,"(5, 4)",common
task,56.0,1,537.0,1,"(0, 1)",011,649,5,"(5, 4)",common
task,57.0,0,991.0,1,"(1, 0)",011,838,3,"(3, 2)",rare
task,58.0,1,782.0,1,"(0, 1)",011,583,5,"(5, 4)",common
task,59.0,0,521.0,1,"(0, 1)",011,589,5,"(4, 5)",common
task,60.0,0,895.0,1,"(1, 0)",011,841,3,"(2, 3)",rare
task,61.0,0,451.0,1,"(1, 0)",011,733,2,"(2, 3)",rare
task,62.0,0,1170.0,0,"(0, 1)",011,647,2,"(3, 2)",common
task,63.0,0,1391.0,1,"(1, 0)",011,948,2,"(2, 3)",rare
task,64.0,1,928.0,0,"(0, 1)",011,635,5,"(5, 4)",rare
task,65.0,0,888.0,0,"(1, 0)",011,794,2,"(2, 3)",common
task,66.0,1,751.0,1,"(1, 0)",011,675,5,"(4, 5)",common
task,67.0,0,1031.0,1,"(1, 0)",011,477,5,"(4, 5)",common
task,68.0,1,875.0,1,"(0, 1)",011,708,5,"(5, 4)",common
task,69.0,0,847.0,1,"(0, 1)",011,782,3,"(3, 2)",rare
task,70.0,1,1087.0,1,"(1, 0)",011,547,5,"(5, 4)",common
task,71.0,1,1062.0,0,"(0, 1)",011,527,5,"(5, 4)",rare
task,72.0,1,998.0,0,"(1, 0)",011,713,3,"(2, 3)",common
task,73.0,0,844.0,0,"(1, 0)",011,779,3,"(3, 2)",common
task,74.0,1,522.0,1,"(1, 0)",011,612,5,"(5, 4)",common
